Genes,WT_serum_Sc_2,R175_serum_A5,WT_doxo_Sc,WT_serum_A5_1,WT_doxo_A5,WT_serum_A5_2,WT_serum_Sc_1
A1BG,223,160,235,73,192,354,182
ADA,131,202,224,141,304,291,85
CDH2,0,1,15,0,1,0,4
TRF-GAA2-1,1,11,3,2,2,12,4
ZBTB11-AS1,154,225,242,129,208,238,178
MED6,973,934,953,729,877,1277,900
NR2E3,86,82,125,54,154,242,55
NAALAD2,64,49,50,51,38,85,68
DUXB,5,11,35,10,18,24,11
PDZK1P1,57,42,70,40,50,76,30
TLX1NB,51,63,38,28,24,43,50
NAALADL1,11,7,10,2,8,17,14
CDKN2B-AS1,573,404,805,414,607,843,562
GUSBP17,145,124,158,84,137,244,164
TRV-CAC1-5,6,4,1,3,10,8,3
NINJ2-AS1,88,177,143,146,236,289,75
ACOT8,229,217,323,139,314,378,254
ABI1,1868,2268,2499,1853,2357,2810,1756
GNPDA1,1846,2123,2008,1399,1792,3312,1788
ZBTB33,3333,3109,3765,3060,3515,5145,3442
SNHG8,1744,2072,2636,1245,2214,3410,1679
GTF2IP4,883,580,1125,480,770,965,635
CDH3,2387,2800,4780,1936,4681,4827,2395
TANK,812,865,1100,763,1177,1340,718
LOC100101148,22,12,17,4,14,17,6
HAVCR1P1,24,23,45,22,38,37,24
POM121C,5329,6185,5901,3780,6145,8674,4939
PMS2P7,14,19,29,65,10,44,48
ZSCAN30,144,136,242,98,100,252,140
MCTS2,360,372,316,254,257,524,302
SRA1,883,1322,1402,755,1363,1852,784
SNORD119,2,11,9,13,1,20,6
SNORD121A,3,0,13,5,4,8,3
SNORD19B,15,60,44,14,22,36,36
SNORD105B,2,9,4,1,2,10,2
UCKL1-AS1,247,211,399,110,298,458,270
SNORD127,9,2,13,7,2,19,7
SNORD126,11,10,5,3,5,9,4
SNORD11B,8,7,3,9,10,16,8
SNORD12B,106,121,127,24,98,122,75
SNORD111B,16,10,3,1,9,10,6
TMEM170B,713,621,551,547,449,998,656
SNORD58C,13,34,39,16,20,39,23
SCARNA27,18,14,7,4,2,22,13
SNORA84,5,6,2,0,3,0,2
SNORA38B,25,35,36,19,16,51,37
SNORA70B,9,0,10,6,10,12,6
HOTAIR,526,372,444,249,202,536,429
ZGLP1,36,27,41,11,14,40,34
FAM86JP,225,187,174,98,137,277,157
FMR1-AS1,14,9,19,17,15,20,20
MIR298,22,5,34,0,21,27,13
MIR875,0,5,7,0,6,0,0
MIR924,5,2,0,1,0,6,0
MIR938,3,1,7,0,1,3,1
MIR940,11,0,5,0,16,11,9
MIR942,2,5,2,0,2,17,3
MIR943,3,8,6,0,0,3,1
MIR760,0,1,0,2,3,2,6
MIR933,9,11,2,0,0,8,2
MIR365A,7,12,33,0,17,17,8
MIR365B,0,0,9,0,5,1,7
LINC00322,11,6,14,4,15,8,3
EGOT,27,11,126,15,72,42,34
GHRLOS,209,126,225,86,177,236,102
MINAR2,3,0,15,0,8,8,7
SLCO4A1-AS1,32,38,47,17,41,44,36
C8orf88,2,2,1,2,11,5,1
ARHGAP44-AS1,4,0,2,0,0,3,4
DPPA2P3,4,4,6,0,3,3,5
WWTR1-AS1,18,22,31,15,25,33,30
SMARCA5-AS1,10,30,31,11,17,15,23
FAM229A,18,22,39,9,22,37,49
LOC100128076,11,1,76,3,66,11,2
ST8SIA6-AS1,37,26,32,36,38,73,21
STAU2-AS1,4,7,3,8,4,10,5
UST-AS1,7,13,44,6,16,36,6
TMPO-AS1,558,386,239,365,51,696,449
LINC02731,4,3,3,2,10,14,0
DNM1P35,15,15,18,14,9,30,23
LOC100128288,29,53,56,26,53,48,53
LOC100128361,281,200,201,149,167,339,255
LOC100128398,17,28,40,30,35,45,33
LOC100128494,126,99,279,89,188,203,151
ASTN2-AS1,7,11,69,28,70,56,6
NEBL-AS1,21,14,23,9,36,43,29
KIAA1671-AS1,57,50,158,27,96,121,29
CTAGE4,7,24,32,9,28,14,20
RANBP3-DT,26,15,21,12,11,50,12
TEKTIP1,369,240,365,89,344,663,421
CDC42P3,6,9,20,6,8,16,2
ACVR2B-AS1,143,169,211,65,133,216,101
LOC100128653,208,232,744,128,713,367,230
HPN-AS1,11,0,9,9,2,8,3
OST4,1911,2092,2390,1551,2342,3531,1860
RBPMS-AS1,17,11,45,17,43,33,26
LOC100128770,310,230,718,113,587,436,309
ERCC6L2-AS1,277,301,427,242,295,465,320
SRRM2-AS1,80,42,160,38,82,138,65
LINC01003,425,421,280,337,281,733,449
VPS9D1-AS1,2140,2090,1777,1236,1483,3661,2141
FAM66B,15,19,12,2,2,32,9
GATA6-AS1,3,0,10,0,2,2,0
ZBTB42,3846,3118,4512,2006,4171,6569,3827
LINC01310,0,0,1,1,7,4,6
C20orf181,0,2,0,2,3,4,4
PCBP3-AS1,2,5,39,4,22,19,3
LOC100129034,2408,2277,2288,1390,1920,3363,2301
BCAR3-AS1,15,14,74,18,66,33,19
KTN1-AS1,53,133,146,101,114,211,99
BTNL10,5,3,5,6,1,12,9
LOC100129148,4,9,8,1,5,9,2
LOC100129175,13,23,27,1,6,19,31
ZSCAN16-AS1,52,66,40,40,31,68,53
MATN1-AS1,81,100,97,29,62,108,51
LOC100129203,3,0,18,0,11,6,2
LOC100129215,324,283,540,186,384,616,311
DEFB131B,53,26,23,17,8,53,62
SMIM27,68,85,81,47,37,112,66
LINC01160,10,12,16,0,6,24,10
LOC100129316,2,1,4,2,2,7,0
NRADDP,17,17,39,3,20,9,24
SMIM10L1,3,3,3,0,2,3,2
GABPB1-AS1,1625,1923,1963,1337,1434,2590,1497
MSTO2P,240,269,147,84,134,295,196
RPL19P12,5,10,9,10,6,12,3
LOC100129434,35,16,168,38,123,80,42
DPY19L1P1,189,119,222,124,134,282,130
LYRM4-AS1,284,219,314,236,200,359,266
MKRN2OS,156,137,204,117,124,293,143
ZNF37BP,949,718,784,549,425,1047,820
LOC100129503,165,110,88,88,96,231,180
SOD2-OT1,32,19,43,23,39,61,37
MUC8,20,15,39,1,15,23,12
LOC100129534,30,26,60,10,25,20,49
ZNF730,215,251,107,211,53,291,245
LINC02035,193,184,204,128,163,289,174
FAM47E,26,38,75,42,69,40,30
LOC100129617,41,31,85,40,48,95,39
TCF24,23,26,24,11,29,41,27
LOC100129697,286,168,197,93,151,324,214
ARRDC3-AS1,169,286,368,124,315,320,117
STPG3-AS1,11,4,24,2,15,11,5
LINC01126,120,83,405,44,329,189,137
CCDC152,7,2,4,0,1,0,2
SLC25A21-AS1,97,134,99,103,82,136,89
ZNF737,325,551,658,306,602,694,318
PCOLCE-AS1,17,9,18,9,11,26,17
SCOC-AS1,7,3,4,8,10,10,9
PCGF3-AS1,827,903,635,287,459,1244,830
TMEM269,16,22,21,5,15,19,14
LOC100129931,12,28,37,17,28,46,10
HMGA2-AS1,7,3,7,2,11,1,0
CCNT2-AS1,68,51,110,43,148,106,45
CERNA1,82,70,121,34,111,155,79
HDAC6,795,824,658,472,635,1172,770
URAHP,131,126,311,48,184,231,119
FTLP10,0,0,9,0,13,0,0
LOC100130075,9,7,22,6,4,18,11
KIF28P,1,1,12,5,19,3,1
EFCAB14-AS1,32,7,15,11,27,19,6
LINC00861,0,0,13,1,3,0,0
LOC100130238,13,27,9,12,16,36,27
SLC24A3-AS1,56,21,109,28,55,140,35
TFAP2A-AS1,88,103,193,80,189,180,87
C17orf107,50,42,77,26,55,80,26
LOC100130331,1,5,4,9,4,9,4
SCGB2B3P,0,3,0,0,6,1,1
LOC100130345,3,0,5,0,0,2,3
TMEM262,22,10,25,1,14,19,32
LOC100130357,65,36,127,30,90,87,45
LOC100130370,86,109,134,28,111,188,75
LINC02593,703,573,729,288,620,1034,580
CECR7,0,0,7,2,2,0,1
GPC1-AS1,12,11,33,12,32,25,13
LOC100130452,3,2,0,1,0,6,5
WAKMAR2,1,9,8,3,5,4,5
TMEM221,10,13,25,7,4,18,18
PARD6G-AS1,25,18,28,9,16,34,23
LINC02881,11,13,21,1,8,8,8
NFYC-AS1,250,156,280,105,192,283,177
LINC00910,132,192,185,100,127,273,140
LOC100130673,22,15,13,2,26,14,17
ATP6V1FNB,57,43,41,16,41,75,35
HDHD5-AS1,13,23,28,13,28,49,17
LRRC70,61,51,66,39,28,77,54
LRRC69,46,24,63,18,31,64,31
LOC100130744,107,105,143,39,130,146,67
EFCAB10,41,34,99,38,72,48,31
AGAP2-AS1,225,182,168,49,145,298,171
SBK3,1,1,1,0,2,4,7
USP3-AS1,83,156,193,77,133,212,83
LOC100130872,8,4,11,1,4,10,5
CREB3L2-AS1,2,2,11,13,13,12,4
ATE1-AS1,14,4,5,12,7,9,16
TSTD3,231,223,263,153,208,346,239
VAC14-AS1,64,38,93,32,59,49,50
SMIM6,59,95,207,27,130,148,84
ZNF594-DT,19,16,47,20,11,47,38
SYCE1L,16,16,32,6,22,25,13
LINC02901,20,28,35,22,29,67,18
LOC100130987,92,119,198,60,124,194,162
LOC100130992,113,121,158,113,187,233,91
ZNF316,3266,2843,3592,1485,3390,5400,3404
LINC01135,12,8,27,1,23,17,9
CKMT2-AS1,271,314,351,195,252,479,254
SRP14-DT,99,132,117,87,84,146,112
DPP9-AS1,74,75,100,18,102,101,74
LOC100131107,0,0,6,0,4,1,0
TSTD1,1750,1461,2370,948,2013,3136,1554
CCDC183-AS1,465,324,739,179,468,584,446
RPL21P28,62,51,43,46,65,107,51
SNAP25-AS1,1,0,9,0,1,0,3
NEMP2,1150,789,325,534,208,1188,1014
ZNF503-AS2,94,67,105,40,71,234,108
MIR181A1HG,157,160,191,150,146,256,173
ANKRD63,92,93,31,44,44,166,113
LOC100131257,0,0,12,2,6,0,0
RAB6C-AS1,32,27,35,25,15,39,14
RDM1P5,24,44,24,12,15,33,22
C11orf91,0,0,12,1,12,0,1
SP9,1,19,9,0,5,6,11
EOLA1-DT,180,123,463,84,334,228,120
DBIL5P,35,52,24,27,16,54,23
LOC100131496,38,52,107,47,71,94,45
ZNF705EP,39,57,19,29,16,65,32
LINC00887,0,2,1,1,9,1,0
FKSG29,2,13,26,25,18,27,8
CCDC18-AS1,411,320,659,231,428,586,348
LOC100131626,6,19,19,3,14,11,10
LOC100131635,8,1,15,2,3,10,2
ZNF236-DT,48,52,29,27,25,65,74
MZF1-AS1,99,55,180,36,105,130,77
FAM83A-AS1,3,6,14,2,5,6,1
USP30-AS1,8,12,16,7,8,9,10
ARMCX4,27,2,22,3,14,15,8
PET100,244,253,296,204,253,389,241
AHI1-DT,57,35,34,17,17,47,37
ZNF717,10,10,20,5,15,19,18
RRN3P3,340,342,412,237,356,582,371
PDE4DIPP6,32,55,51,26,49,93,13
LOC100132062,12,18,30,7,15,15,19
FOXO6,193,237,282,88,328,355,220
LOC100132077,17,3,8,6,8,17,11
HERC2P7,4,1,3,1,8,5,10
C2CD4D-AS1,43,89,54,19,44,60,39
ACTA2-AS1,3,14,13,7,25,14,7
CALML3-AS1,61,61,249,45,166,65,79
PHKA2-AS1,43,23,27,12,24,39,23
WASIR2,35,94,46,42,33,85,66
EHBP1-AS1,16,20,12,11,5,27,16
NPIPB5,407,353,700,364,416,591,277
LOC100132287,11,18,23,7,31,39,10
TEKT4P2,66,37,84,36,51,66,50
CLUHP3,417,316,618,232,474,596,373
FRG1HP,197,195,183,142,119,287,179
LINC01512,2,5,2,2,0,0,2
LOC100132356,273,199,438,132,239,422,214
FAM157B,109,7,7,0,6,8,3
NBPF10,323,337,553,257,483,520,321
CLDN24,7,3,7,2,9,4,2
TAT-AS1,9,7,3,0,5,15,7
PGAM1P5,3,0,6,0,11,0,0
ZRANB2-AS1,25,35,24,6,34,61,33
BSN-DT,1,9,12,3,3,4,7
PAXIP1-AS2,92,66,102,43,80,77,98
CYP4F30P,5,4,10,4,11,7,1
DCAF13P3,96,76,207,83,137,204,85
KDM4A-AS1,64,51,124,37,85,136,52
LOC100132781,11,9,7,5,4,13,12
SYBU-AS1,1,3,21,1,18,10,5
IPO5P1,1034,818,1445,681,834,1488,1092
PMS2P9,68,45,91,37,123,114,57
DPH3P1,72,54,42,15,33,62,33
FAM66D,35,32,21,47,19,39,22
GUSBP19,5,5,6,9,1,12,6
LOC100133077,2,3,1,0,4,10,0
LINC01001,21,15,33,5,39,28,19
LINC00240,15,25,37,14,18,18,19
CBR1-AS1,4,1,3,0,2,3,3
HOXA-AS3,9,5,4,0,4,7,9
XNDC1N,156,113,129,67,70,192,144
PRO1804,22,10,37,8,26,11,15
MRPL23-AS1,2,6,20,2,3,11,5
LINC01134,10,15,38,12,10,36,12
LY6E-DT,2,4,23,17,17,10,10
LOC100133920,0,0,5,3,6,5,0
CD24,12603,13474,45753,11944,51759,22339,11807
UXT-AS1,6,2,1,0,1,0,3
LINC01816,24,27,41,11,27,60,20
MAP3K14-AS1,232,292,356,118,305,443,224
UBOX5-AS1,26,26,46,4,24,45,23
KDM7A-DT,119,210,357,128,342,245,77
LINC01119,6,8,5,0,2,9,7
LOC100134368,130,113,139,67,104,171,114
NDUFB2-AS1,118,152,99,71,57,158,116
LOC100134868,36,60,60,21,51,62,24
UBE2Q2P2,14,21,16,8,18,18,21
JMJD7,138,105,226,86,188,227,153
PLA2G4B,11,8,18,0,18,15,11
HDAC5,1506,1181,2002,613,1728,2154,1496
