Genes,control_1,control_2,Nutlin_1,Nutlin_2
A1BG,119,103,127,114
ADA,526,451,915,589
AKT3,5,6,7,5
RNA5-8SN5,23,21,81,462
RNA18SN5,1043,1073,2650,7033
RNA28SN5,5816,4475,10723,16175
ZBTB11-AS1,160,166,259,143
MED6,700,763,885,508
NR2E3,13,18,75,49
NAALAD2,2,6,2,9
MIR675,14,10,8,7
PDZK1P1,62,84,129,135
DDTL,928,914,1086,634
TLX1NB,2,0,14,4
NAALADL1,4,3,6,2
CDKN2B-AS1,66,55,72,46
GUSBP17,29,30,53,35
NINJ2-AS1,53,39,114,76
ACOT8,378,306,618,367
ABI1,1829,1771,2518,1544
GNPDA1,1047,1039,2082,1191
ZBTB33,1218,1159,1635,1048
SNHG8,624,532,1011,590
GTF2IP4,2201,2538,3601,2554
CDH3,4321,4376,5753,4000
TANK,767,791,1176,852
HAVCR1P1,0,5,2,6
POM121C,1935,1727,2270,1406
PMS2P7,50,35,63,42
ZSCAN30,30,40,71,61
SRA1,984,929,1778,1022
SNORD125,41,22,34,16
SNORD19B,13,12,17,3
UCKL1-AS1,171,160,137,104
SNORD12B,3,7,5,4
TMEM170B,201,216,267,199
SNORD58C,13,21,10,4
SNORA84,8,3,1,2
HOTAIR,92,99,103,78
ZGLP1,27,41,32,28
FAM86JP,238,203,410,231
MIR922,10,16,14,7
MIR943,28,21,15,12
MIR937,57,49,95,64
MIR939,43,28,35,30
LINC00322,2,1,2,8
SNAR-G1,4,4,5,0
GHRLOS,57,51,64,46
MINAR2,13,12,8,10
SLCO4A1-AS1,58,49,33,28
KRT73-AS1,119,90,0,0
C8orf88,9,19,5,18
WWTR1-AS1,10,7,21,9
SMARCA5-AS1,214,190,180,107
FAM229A,11,11,14,11
LOC100128076,7,3,41,35
LOC100128079,19,21,41,19
JAZF1-AS1,4,4,4,2
ST8SIA6-AS1,7,6,8,6
UST-AS1,12,9,15,11
TMPO-AS1,774,694,183,124
LOC100128253,0,3,4,5
WASIR1,28,22,62,40
TNK2-AS1,98,105,101,66
LOC100128288,5,13,8,12
DLG5-AS1,18,22,34,20
LOC100128340,44,51,67,34
LOC100128361,47,42,55,27
FAM225B,209,183,203,151
LOC100128398,49,56,43,39
LOC100128494,2382,2323,3197,2069
NEBL-AS1,39,38,92,40
KIAA1671-AS1,22,20,49,24
MIR29B2CHG,10,10,36,19
CTAGE4,44,38,71,41
RANBP3-DT,1,5,6,3
TEKTIP1,90,58,125,68
TMSB15B-AS1,4,3,2,5
CDC42P3,93,86,124,68
ACVR2B-AS1,14,15,16,8
LOC100128653,113,105,145,85
OST4,2025,1955,3251,1999
RBPMS-AS1,80,79,85,72
LOC100128770,182,168,440,245
ERCC6L2-AS1,217,235,431,265
SRRM2-AS1,27,32,75,29
LINC01003,276,205,388,219
VPS9D1-AS1,883,690,716,348
ZFPM1-AS1,4,8,8,3
FAM66B,12,19,54,26
CIROP,5,4,7,3
ZBTB42,1202,1042,1289,767
PKP4-AS1,91,73,100,67
LOC100129034,2316,2091,3498,2303
BCAR3-AS1,12,8,27,14
SEMA3F-AS1,127,143,170,118
LOC100129066,3,1,19,7
KTN1-AS1,30,33,53,29
SIGLEC10-AS1,8,3,1,0
BTNL10,0,1,6,5
TDH-AS1,52,53,44,35
LOC100129138,4,5,6,4
LOC100129148,158,151,159,106
LOC100129175,5,6,3,0
ZSCAN16-AS1,35,45,66,50
MATN1-AS1,30,16,41,16
LOC100129203,0,4,4,10
LOC100129215,24,15,15,7
SMIM27,70,58,70,46
NRADDP,4,7,7,10
SMIM10L1,1047,1040,1234,759
GABPB1-AS1,573,495,745,458
MSTO2P,366,354,307,191
RPL19P12,190,189,279,134
LOC100129434,5,8,1,1
LOC100129455,7,3,6,5
DPY19L1P1,54,66,84,52
LYRM4-AS1,87,81,93,50
MKRN2OS,44,67,127,108
ZNF37BP,161,153,130,94
LINC02983,13,10,10,6
LOC100129503,22,14,22,10
LINC02012,14,9,8,8
SOD2-OT1,47,47,58,41
LOC100129534,27,43,30,29
LOC100129540,28,22,24,17
ZNF730,219,233,120,107
LINC02035,8,3,17,15
FAM47E,49,64,94,76
LOC100129617,7,3,7,1
PLPPR5-AS1,3,3,5,3
TCF24,13,7,13,17
LOC100129697,47,32,71,35
