,MDAMB231_siTP53_rep1,MDAMB231_siTP53_rep2,MDAMB231_siTP53_rep3,MDAMB231_siCtrl_rep1,MDAMB231_siCtrl_rep2,MDAMB231_siCtrl_rep3
A1BG,57,64,39,58,89,41
NAT2,2,1,1,3,8,4
ADA,17,28,19,50,62,33
CDH2,16,10,21,14,19,6
AKT3,1398,1494,1355,1745,2161,1613
RNA5-8SN5,8,10,7,13,28,11
RNA18SN5,6553,6613,5255,9681,16243,6080
RNA28SN5,8235,9601,7262,12162,26924,8170
ZBTB11-AS1,161,205,170,195,238,162
MED6,785,816,683,701,953,656
NR2E3,5,4,6,4,2,3
NAALAD2,150,143,167,155,159,137
PDZK1P1,5,8,12,17,28,14
DDTL,425,513,412,539,713,451
NAALADL1,5,3,1,3,3,2
GUSBP17,52,55,62,56,106,60
NINJ2-AS1,77,69,75,69,75,58
ACOT8,671,852,677,703,928,543
ABI1,1507,1648,1450,1579,1886,1411
GNPDA1,996,1171,931,1339,1651,1143
KCNE3,3,3,3,2,3,3
ZBTB33,835,900,823,1238,1559,1105
SNHG8,450,507,478,473,625,393
GTF2IP4,2120,2365,2185,1684,2078,1534
CDH3,15,27,12,34,28,13
TANK,634,651,634,586,719,514
LOC100101148,31,25,32,23,23,16
HAVCR1P1,9,10,9,10,15,10
POM121C,2375,2804,2485,2257,2572,1792
PMS2P7,28,30,21,33,43,26
ZSCAN30,371,395,423,626,762,523
H2BW3P,31,25,30,22,28,20
SRA1,834,1037,788,990,1189,798
SNORD125,5,6,12,6,12,5
SNORD19B,17,17,17,19,23,15
UCKL1-AS1,172,213,205,193,235,167
SNORD12B,6,6,3,14,15,8
TMEM170B,471,494,500,499,596,486
SNORD58C,14,14,12,14,21,22
SCARNA27,14,10,12,34,31,16
ZGLP1,50,42,49,34,49,32
FAM86JP,13,16,9,22,30,18
FMR1-AS1,5,2,0,0,5,3
MIR147B,27,30,30,21,35,28
MIR877,2,2,1,4,3,3
MIR374B,1,1,3,4,3,2
MIR922,33,29,35,29,34,22
MIR936,22,24,14,17,26,16
MIR940,2,3,2,1,3,3
MIR943,44,45,40,54,43,33
MIR937,53,71,52,68,67,53
MIR939,58,56,68,52,66,43
NAV2-AS6,350,362,335,333,398,226
GHRLOS,51,64,56,54,77,52
SLCO4A1-AS1,1496,1820,1438,1661,2258,1365
LOC100127955,8,7,15,5,15,8
C8orf88,2,7,4,2,3,2
WWTR1-AS1,5,3,2,4,11,5
PLCE1-AS1,28,27,20,44,43,29
SMARCA5-AS1,155,188,167,210,232,148
FAM229A,87,140,127,76,86,65
LOC100128076,5,5,3,5,6,4
LOC100128079,18,21,19,22,23,12
JAZF1-AS1,3,4,7,12,17,7
STAU2-AS1,2,4,2,1,3,2
LOC100128164,2,4,2,2,5,2
UST-AS1,3,6,5,9,15,3
TMPO-AS1,619,755,682,1142,1441,849
LINC02324,13,4,9,6,11,7
LOC100128253,10,20,11,31,33,18
TNK2-AS1,39,42,32,25,38,20
DNM1P35,1,3,3,3,5,1
LOC100128288,46,49,50,27,40,44
DLG5-AS1,25,37,27,45,44,27
LOC100128340,5,5,6,1,4,6
LOC100128361,36,43,41,61,75,50
LINC00696,8,13,17,14,7,6
FAM225B,1712,2056,1746,1136,1327,968
ARHGAP42-AS1,36,24,32,24,38,21
LOC100128398,121,123,141,97,133,80
LOC100128494,2722,2949,2845,2843,3360,2335
NEBL-AS1,2,4,5,3,4,1
KIAA1671-AS1,4,4,7,3,5,3
MIR29B2CHG,86,64,74,62,100,64
CTAGE4,5,4,3,9,7,6
RANBP3-DT,8,7,3,8,6,6
TEKTIP1,144,158,136,158,236,108
TMSB15B-AS1,37,43,33,42,54,43
ACVR2B-AS1,38,41,42,31,38,23
LOC100128653,73,84,74,69,88,61
OST4,1071,1367,1033,1008,1227,850
RBPMS-AS1,3,8,2,3,6,6
ERCC6L2-AS1,130,136,134,101,96,74
SRRM2-AS1,21,13,15,15,33,20
LPEQ6126,3,2,2,2,9,4
LINC01003,120,133,101,110,126,72
VPS9D1-AS1,150,159,149,241,292,189
ZFPM1-AS1,13,15,7,14,15,11
LOC100128885,45,34,49,42,45,35
FAM66B,8,8,13,3,10,6
GATA6-AS1,63,65,74,38,49,45
CIROP,5,6,2,9,11,2
ZBTB42,66,85,89,138,177,106
LOC100128966,3,5,4,9,12,12
LOC100128988,2,3,4,8,11,7
PKP4-AS1,68,79,71,95,124,84
LOC100129034,2490,2929,2549,2948,3536,2465
BCAR3-AS1,241,277,245,279,388,216
SEMA3F-AS1,262,320,309,287,367,245
KTN1-AS1,27,23,37,67,70,52
SIGLEC10-AS1,9,7,5,7,10,8
BTNL10,2,9,6,2,2,1
KHDC1L,9,9,8,3,8,2
LOC100129138,1,5,3,4,4,1
LOC100129148,182,213,178,268,311,220
ZSCAN16-AS1,162,216,165,172,182,119
MATN1-AS1,28,42,42,49,64,34
LOC100129203,13,24,24,12,7,6
LOC100129215,5,8,7,10,10,6
DEFB131B,6,2,4,6,1,3
SMIM27,76,72,65,62,89,52
LINC01160,4,4,7,4,1,2
LOC100129316,8,3,6,7,7,7
NRADDP,3,3,5,4,8,4
SMIM10L1,408,501,423,471,602,430
C9orf92,5,7,7,7,5,5
GABPB1-AS1,171,188,214,190,229,128
FAM106C,11,7,11,8,16,11
MSTO2P,428,539,504,661,744,513
RPL19P12,2,7,5,9,20,14
LOC100129434,6,21,13,12,14,15
DPY19L1P1,119,137,139,99,127,89
LYRM4-AS1,132,135,144,135,155,111
LINC01546,17,13,21,8,18,6
MKRN2OS,31,26,29,22,38,26
ZNF37BP,387,399,436,541,598,506
LINC02983,41,43,43,45,64,38
LOC100129503,106,122,137,85,120,83
LINC02012,20,23,31,30,44,17
SOD2-OT1,57,64,60,84,112,64
LOC100129534,46,39,45,76,73,51
LOC100129540,22,26,19,29,45,28
ZNF730,4,5,6,1,6,4
LINC02035,111,100,101,87,114,96
FAM47E,14,13,12,19,19,11
LOC100129617,5,11,5,7,23,20
ARRDC3-AS1,7,13,11,12,5,3
STPG3-AS1,6,1,10,5,8,3
LINC01126,12,15,21,8,13,8
MIR193BHG,6,6,7,1,3,2
CCDC152,5,7,8,3,9,4
SLC25A21-AS1,27,30,26,30,52,21
ZNF807P,8,13,15,11,9,15
COL4A2-AS2,65,92,72,81,115,65
ZNF737,219,194,230,214,275,189
PCOLCE-AS1,9,10,6,14,25,12
SCOC-AS1,4,10,5,4,5,5
PCGF3-AS1,139,143,161,156,215,128
TMEM269,32,36,44,24,50,39
LOC100129931,595,696,611,729,846,608
HMGA2-AS1,75,90,102,88,189,81
