"","SYMBOL","GSM3535477","GSM3535478","GSM3535479","GSM3535480","GSM3535481","GSM3535482"
"1","A1BG",471,347,446,571,451,398
"2","NAT2",0,0,0,1,1,0
"3","ADA",662,623,590,1591,1296,905
"4","CDH2",3731,2713,3081,3358,3001,2023
"5","AKT3",1920,1861,2150,1333,1628,1118
"6","GAGE12F",0,0,0,0,0,0
"7","RNA5-8SN5",18,20,34,119,61,52
"8","RNA18SN5",18911,15584,34104,68418,29361,25493
"9","RNA28SN5",19507,17120,39921,74627,34713,31136
"10","TRY-GTA7-1",0,0,0,0,0,0
"11","TRY-GTA5-4",0,0,0,0,0,0
"12","TRF-GAA2-1",0,0,0,0,1,0
"13","TRF-GAA1-4",0,0,0,0,0,0
"14","TRH-GTG1-6",0,0,0,0,0,0
"15","LINC02584",0,0,0,0,0,0
"16","POU5F1P5",0,1,0,0,0,2
"17","ZBTB11-AS1",289,216,270,300,355,209
"18","MED6",1343,1144,1328,1309,1349,806
"19","NR2E3",1,0,1,1,2,1
"20","NAALAD2",24,25,32,32,39,28
"21","DUXB",0,1,1,33,21,11
"22","SNORD116-1",6,4,10,3,0,1
"23","SNORD116-2",7,6,11,0,1,2
"24","SNORD116-3",1,1,1,0,2,1
"25","SNORD116-4",31,28,32,13,9,6
"26","SNORD116-5",1,3,1,0,0,1
"27","SNORD116-6",4,6,6,0,1,1
"28","SNORD116-7",0,2,1,0,0,1
"29","SNORD116-8",5,2,2,0,2,0
"30","SNORD116-9",0,0,2,0,0,0
"31","SNORD116-10",0,0,0,0,0,0
"32","SNORD116-11",0,0,0,0,0,0
"33","SNORD116-12",0,3,0,0,1,0
"34","SNORD116-13",1,2,0,1,2,0
"35","SNORD116-14",6,3,14,1,2,2
"36","SNORD116-15",3,3,3,2,1,0
"37","SNORD116-16",1,1,3,0,1,1
"38","SNORD116-17",4,2,4,1,1,1
"39","SNORD116-18",3,2,2,0,1,1
"40","SNORD116-20",8,8,16,6,10,1
"41","SNORD116-21",20,17,24,4,8,6
"42","SNORD116-22",14,11,19,2,3,5
"43","SNORD116-23",3,2,2,0,0,0
"44","SNORD116-24",14,4,13,5,1,2
"45","SNORD116-25",0,0,0,0,0,0
"46","SNORD115-2",0,0,0,0,0,0
"47","SNORD116-26",0,0,0,0,0,0
"48","SNORD116-27",0,2,0,0,2,0
"49","SNORD115-3",0,0,0,0,0,0
"50","SNORD115-4",0,0,0,0,0,0
"51","SNORD115-5",0,0,0,0,0,0
"52","SNORD115-6",0,0,0,0,0,0
"53","SNORD115-7",0,0,0,0,0,0
"54","SNORD115-8",0,0,0,0,0,0
"55","SNORD115-9",0,0,0,0,0,0
"56","SNORD115-10",0,0,0,0,0,0
"57","SNORD115-11",0,0,0,0,0,0
"58","SNORD115-12",0,0,0,0,0,0
"59","SNORD115-13",0,0,0,0,0,0
"60","SNORD115-14",0,0,0,0,0,0
"61","SNORD115-15",0,0,0,0,0,0
"62","SNORD115-16",0,0,0,0,0,0
"63","SNORD115-17",0,0,0,0,0,0
"64","SNORD115-18",0,0,0,0,0,0
"65","SNORD115-19",0,0,0,0,0,0
"66","SNORD115-20",0,0,0,0,0,0
"67","SNORD115-21",0,0,0,0,0,0
"68","SNORD115-22",0,0,0,0,0,0
"69","SNORD115-23",0,0,0,0,0,0
"70","SNORD115-25",0,0,0,0,0,0
"71","SNORD115-26",0,0,0,0,0,0
"72","SNORD115-29",0,0,0,0,0,0
"73","SNORD115-30",0,0,0,0,0,0
"74","SNORD115-31",0,0,0,0,0,0
"75","SNORD115-32",0,0,0,0,0,0
"76","SNORD115-33",0,0,0,0,0,0
"77","SNORD115-34",0,0,0,0,0,0
"78","SNORD115-35",0,0,0,0,0,0
"79","SNORD115-36",0,0,0,0,0,0
"80","SNORD115-37",0,0,0,0,0,0
"81","SNORD115-38",0,0,0,0,0,0
"82","SNORD115-39",0,0,0,0,0,0
"83","SNORD115-40",0,0,0,0,0,0
"84","SNORD115-41",0,0,0,0,0,0
"85","SNORD115-42",0,0,0,0,0,0
"86","SNORD115-43",0,0,0,0,0,0
"87","SNORD115-44",0,0,0,0,0,0
"88","MIR675",23,42,17,2262,2811,1087
"89","SNORD116-28",9,1,6,10,7,4
"90","SNORD116-29",1,0,1,0,0,0
"91","SNORD115-48",0,0,0,0,0,0
"92","PDZK1P1",4,5,5,1,7,5
"93","SNORD115-24",0,0,0,0,0,0
"94","SNORD115-27",0,0,0,0,0,0
"95","SNORD115-28",0,0,0,0,0,0
"96","SNORD115-45",0,0,0,0,0,0
"97","SNORD115-47",0,0,0,0,0,0
"98","DDTL",1576,1438,1382,3396,3484,1873
"99","TLX1NB",0,2,1,0,0,2
"100","NAALADL1",19,13,9,61,25,14
"101","CDKN2B-AS1",12,9,9,1,3,2
"102","GUSBP17",17,25,20,16,23,10
"103","SIGLEC14",1,0,1,12,15,7
"104","TRK-TTT3-4",0,0,1,2,1,2
"105","TRV-CAC1-5",0,0,0,0,0,1
"106","NINJ2-AS1",18,28,10,8,17,7
"107","ACOT8",473,434,422,441,453,246
"108","ABI1",2168,1450,2025,1829,1805,1213
"109","GNPDA1",4847,2509,4664,3932,3668,2272
"110","MIMT1",0,0,0,2,2,4
"111","KCNE3",0,1,0,1,0,0
"112","ZBTB33",694,792,718,390,543,339
"113","SNHG8",3924,4384,3797,3148,3028,1920
"114","GTF2IP4",2756,2655,2412,2943,3366,1836
"115","GS1-600G8.3",0,0,0,0,0,0
"116","CDH3",28,46,36,1631,1767,879
"117","TANK",1599,1167,1579,1071,1178,815
"118","TTTY21B",0,0,0,0,0,0
"119","TTTY1B",0,0,0,0,0,0
"120","TTTY2B",0,0,0,0,0,0
"121","TTTY8B",0,0,0,1,0,0
"122","TTTY7B",0,0,0,0,0,0
"123","TTTY23B",0,0,0,0,0,0
"124","LOC100101148",22,38,38,38,44,27
"125","HAVCR1P1",3,3,9,9,4,1
"126","POM121C",3185,2995,2908,4707,6147,3072
"127","PMS2P7",120,112,130,84,94,63
"128","ZSCAN30",341,309,316,185,216,125
"129","H2BW3P",0,0,0,0,0,0
"130","ANKRD26P3",2,2,1,0,1,0
"131","SRA1",1986,1047,1725,3208,3053,1538
"132","SNORD119",7,3,4,1,1,7
"133","SNORD121A",0,0,0,1,1,2
"134","SNORD125",3,3,5,2,0,2
"135","SNORD19B",27,20,29,12,14,12
"136","SNORD105B",0,0,0,0,0,0
"137","SNORD123",0,0,0,0,0,0
