"","SYMBOL","GSM4143534","GSM4143535","GSM4143536","GSM4143537","GSM4143538","GSM4143539","GSM4143540","GSM4143541","GSM4143542","GSM4143543","GSM4143544","GSM4143545","GSM4143546","GSM4143547","GSM4143548","GSM4143549"
"1","A1BG",0,2,1,0,0,2,1,3,0,2,0,0,0,2,0,1
"2","NAT2",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"3","ADA",36,138,28,117,41,192,46,127,69,292,37,240,43,191,32,205
"4","CDH2",0,3,0,1,0,0,1,0,0,3,0,7,1,1,1,3
"5","AKT3",5,35,10,31,10,46,13,52,7,38,9,84,9,53,15,71
"6","GAGE12F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","RNA5-8SN5",156,643,307,1302,110,415,106,446,189,716,152,312,195,397,146,311
"8","RNA18SN5",189380,817772,278121,1098012,255142,1021684,250219,952148,238426,949214,239898,592642,248994,910061,237237,724843
"9","RNA28SN5",104834,550438,192610,953506,99918,495503,106441,484386,101665,602984,99499,322038,128174,420981,89914,347833
"10","TRY-GTA7-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","TRY-GTA5-4",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"12","TRF-GAA2-1",0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"13","TRF-GAA1-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","TRH-GTG1-6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"15","LINC02584",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"16","POU5F1P5",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1
"17","ZBTB11-AS1",9,38,8,40,21,94,15,78,14,92,13,74,26,68,16,64
"18","MED6",73,388,63,285,93,438,130,470,80,327,93,500,71,365,109,462
"19","NR2E3",0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0
"20","NAALAD2",4,8,2,5,2,11,4,11,2,7,4,12,3,18,1,14
"21","DUXB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","SNORD116-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","SNORD116-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","SNORD116-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","SNORD116-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","SNORD116-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","SNORD116-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","SNORD116-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","SNORD116-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","SNORD116-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","SNORD116-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","SNORD116-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","SNORD116-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","SNORD116-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","SNORD116-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","SNORD116-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","SNORD116-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","SNORD116-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","SNORD116-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","SNORD116-20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","SNORD116-21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","SNORD116-22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","SNORD116-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","SNORD116-24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","SNORD116-25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","SNORD115-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","SNORD116-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","SNORD116-27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","SNORD115-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","SNORD115-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","SNORD115-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","SNORD115-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","SNORD115-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","SNORD115-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","SNORD115-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","SNORD115-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","SNORD115-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","SNORD115-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","SNORD115-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","SNORD115-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","SNORD115-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","SNORD115-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
