"","SYMBOL","GSM1921811","GSM1921812","GSM1921813","GSM1921814","GSM1921815","GSM1921816","GSM1921817","GSM1921818"
"1","A1BG",41,145,183,128,89,115,44,194
"2","NAT2",0,2,2,0,0,0,0,0
"3","ADA",400,917,1322,885,1066,959,494,1357
"4","CDH2",429,138,1180,119,888,163,395,174
"5","AKT3",1154,2382,3182,2017,1668,1697,784,1961
"6","GAGE12F",0,0,0,0,0,0,0,0
"7","RNA5-8SN5",7,14,14,7,14,19,6,45
"8","RNA18SN5",2507,5374,7263,3712,5433,6296,2611,14750
"9","RNA28SN5",7030,16560,17981,12079,14374,16799,6426,28245
"10","TRY-GTA7-1",0,0,0,0,0,0,0,0
"11","TRY-GTA5-4",0,0,1,0,0,0,0,0
"12","TRF-GAA2-1",0,0,0,0,0,0,0,0
"13","TRF-GAA1-4",0,0,0,0,0,0,0,2
"14","TRH-GTG1-6",0,0,0,0,0,0,0,0
"15","LINC02584",0,1,0,0,0,0,0,0
"16","POU5F1P5",0,0,1,0,0,2,1,2
"17","ZBTB11-AS1",78,153,240,140,199,196,90,281
"18","MED6",368,708,1015,575,941,760,383,888
"19","NR2E3",4,2,15,6,7,8,4,10
"20","NAALAD2",81,83,206,109,115,101,31,105
"21","DUXB",0,0,2,0,0,0,0,0
"22","SNORD116-1",0,4,3,3,2,1,1,4
"23","SNORD116-2",1,1,5,1,2,2,0,2
"24","SNORD116-3",0,0,2,1,0,0,0,0
"25","SNORD116-4",4,13,15,10,10,5,2,12
"26","SNORD116-5",0,0,0,0,0,0,0,0
"27","SNORD116-6",1,2,2,1,1,4,0,0
"28","SNORD116-7",0,0,0,1,1,0,2,2
"29","SNORD116-8",0,0,2,0,0,0,0,1
"30","SNORD116-9",0,0,0,0,0,0,0,1
"31","SNORD116-10",0,0,0,0,0,0,0,0
"32","SNORD116-11",0,0,0,0,0,0,0,0
"33","SNORD116-12",0,0,0,1,0,0,0,1
"34","SNORD116-13",0,1,2,3,0,2,1,0
"35","SNORD116-14",0,1,2,3,1,0,1,2
"36","SNORD116-15",0,0,0,2,0,0,0,0
"37","SNORD116-16",0,1,0,0,0,1,0,0
"38","SNORD116-17",0,0,0,1,0,0,0,0
"39","SNORD116-18",0,0,1,0,1,1,0,0
"40","SNORD116-20",3,5,9,6,5,2,2,10
"41","SNORD116-21",6,9,17,10,11,6,4,7
