"","SYMBOL","GSM2211605","GSM2211606","GSM2211607","GSM2211608","GSM2211609","GSM2211610","GSM2211611","GSM2211612","GSM2211613","GSM2211614"
"1","A1BG",144,161,103,129,107,120,135,96,104,97
"2","NAT2",0,2,1,5,3,4,0,2,0,3
"3","ADA",641,650,622,607,616,655,666,635,544,681
"4","CDH2",1349,1438,1309,891,988,916,1327,1410,971,1329
"5","AKT3",1794,1869,1686,1591,1727,1610,2570,2804,1932,2590
"6","GAGE12F",192,167,202,264,296,310,159,148,180,205
"7","RNA5-8SN5",30,30,41,19,67,29,27,24,32,33
"8","RNA18SN5",1664,1694,1878,1379,4249,1991,1478,1406,1470,1457
"9","RNA28SN5",3449,3821,4158,3198,10168,4703,3550,3014,4522,3601
"10","TRY-GTA7-1",0,1,0,0,0,0,1,0,0,0
"11","TRY-GTA5-4",1,0,0,0,0,1,1,0,0,1
"12","TRF-GAA2-1",0,0,0,0,0,0,0,0,0,0
"13","TRF-GAA1-4",0,0,0,0,0,0,0,0,0,0
"14","TRH-GTG1-6",0,0,0,0,0,0,0,0,0,0
"15","LINC02584",7,2,4,4,8,7,1,2,3,6
"16","POU5F1P5",0,0,1,0,0,2,0,0,0,0
"17","ZBTB11-AS1",165,152,123,189,222,193,111,120,144,166
"18","MED6",1044,1050,968,940,1027,912,1120,1146,920,1227
"19","NR2E3",3,2,2,2,4,2,1,0,2,0
"20","NAALAD2",191,249,196,112,76,81,560,682,209,288
"21","DUXB",1,0,0,4,0,3,0,1,1,2
"22","SNORD116-1",2,5,2,2,3,4,2,5,5,5
"23","SNORD116-2",3,0,1,3,2,3,0,4,2,1
"24","SNORD116-3",1,0,1,1,1,0,2,0,3,1
"25","SNORD116-4",18,12,12,14,17,14,10,16,12,18
"26","SNORD116-5",0,0,1,1,0,0,0,0,1,0
"27","SNORD116-6",1,2,2,6,4,5,2,4,6,4
"28","SNORD116-7",3,3,0,1,2,2,1,2,0,2
"29","SNORD116-8",0,1,1,3,0,0,1,1,0,1
"30","SNORD116-9",0,1,0,0,0,0,0,0,0,0
"31","SNORD116-10",0,0,0,0,0,1,0,0,0,0
"32","SNORD116-11",0,0,0,0,0,0,0,0,1,0
"33","SNORD116-12",2,2,2,3,2,4,0,1,2,3
"34","SNORD116-13",1,2,3,0,5,1,4,0,3,4
"35","SNORD116-14",2,4,0,3,3,4,6,4,2,2
"36","SNORD116-15",0,0,1,0,0,0,0,1,0,0
"37","SNORD116-16",0,0,1,0,1,0,0,0,0,0
"38","SNORD116-17",0,0,0,0,1,0,0,0,1,1
"39","SNORD116-18",1,0,1,1,0,0,1,0,2,2
"40","SNORD116-20",4,5,10,5,13,18,6,9,4,9
"41","SNORD116-21",13,12,19,15,17,13,15,19,11,17
"42","SNORD116-22",5,4,5,10,7,5,10,10,6,8
"43","SNORD116-23",2,5,5,3,3,1,3,0,3,1
"44","SNORD116-24",4,3,2,6,8,2,4,1,4,6
"45","SNORD116-25",1,0,0,0,0,0,0,0,0,0
"46","SNORD115-2",0,0,0,0,0,0,0,0,0,0
"47","SNORD116-26",0,1,0,0,1,0,0,0,0,2
"48","SNORD116-27",0,0,1,0,1,2,0,1,1,2
"49","SNORD115-3",0,0,0,0,0,0,0,0,0,0
"50","SNORD115-4",0,0,0,0,0,0,0,0,0,0
"51","SNORD115-5",0,0,0,0,0,0,0,0,0,0
"52","SNORD115-6",0,0,0,0,0,0,0,0,0,0
"53","SNORD115-7",0,0,0,0,0,0,0,0,0,0
"54","SNORD115-8",0,0,0,0,0,0,0,0,0,0
"55","SNORD115-9",0,0,0,0,0,0,0,0,0,0
"56","SNORD115-10",0,0,0,0,0,0,0,0,0,0
"57","SNORD115-11",0,0,0,0,0,0,0,0,0,0
"58","SNORD115-12",1,0,0,0,0,0,0,0,0,0
"59","SNORD115-13",0,0,0,0,0,0,0,0,0,0
"60","SNORD115-14",0,0,0,0,0,0,0,0,0,0
"61","SNORD115-15",0,0,0,0,0,0,0,0,0,0
"62","SNORD115-16",0,0,0,0,0,0,0,0,0,0
"63","SNORD115-17",0,0,0,0,0,0,0,0,0,0
"64","SNORD115-18",0,0,0,0,0,0,0,0,0,0
"65","SNORD115-19",0,0,0,0,0,0,0,0,0,0
"66","SNORD115-20",0,0,0,0,1,0,0,0,0,0
"67","SNORD115-21",0,0,0,0,0,0,0,0,0,0
"68","SNORD115-22",0,0,0,0,1,0,0,0,0,0
"69","SNORD115-23",0,0,0,0,0,0,0,0,0,0
"70","SNORD115-25",0,0,0,0,0,0,0,0,0,0
"71","SNORD115-26",0,0,0,0,1,0,0,0,0,0
"72","SNORD115-29",0,0,0,0,0,0,0,0,0,0
"73","SNORD115-30",0,0,0,0,0,0,0,0,0,0
"74","SNORD115-31",0,0,0,0,0,0,0,0,0,0
"75","SNORD115-32",0,0,0,0,0,0,0,0,0,0
"76","SNORD115-33",0,0,0,0,0,0,0,0,0,0
"77","SNORD115-34",0,0,0,0,0,0,0,0,0,0
"78","SNORD115-35",0,0,0,0,0,0,0,0,0,0
"79","SNORD115-36",0,0,0,0,0,0,0,0,0,0
"80","SNORD115-37",0,0,0,0,0,0,0,0,0,0
"81","SNORD115-38",0,0,0,0,0,0,0,0,0,0
"82","SNORD115-39",0,0,0,0,0,0,0,0,0,0
"83","SNORD115-40",0,0,0,0,0,0,0,0,0,0
"84","SNORD115-41",0,0,0,0,0,0,0,0,0,0
"85","SNORD115-42",0,0,0,0,0,0,0,0,0,0
"86","SNORD115-43",0,0,0,0,0,0,0,0,0,0
"87","SNORD115-44",0,0,0,0,0,0,0,0,0,0
"88","MIR675",3,5,1,1,1,0,2,2,2,1
"89","SNORD116-28",8,7,10,12,8,13,5,6,5,11
"90","SNORD116-29",2,0,1,0,2,0,0,0,0,0
"91","SNORD115-48",0,0,0,0,0,0,0,0,0,0
"92","PDZK1P1",20,28,23,24,38,27,23,24,29,25
"93","SNORD115-24",0,0,0,0,0,0,0,0,0,0
"94","SNORD115-27",0,0,0,0,0,0,0,0,0,0
"95","SNORD115-28",0,0,0,0,0,0,0,0,0,0
"96","SNORD115-45",0,0,0,0,0,0,0,0,0,0
"97","SNORD115-47",0,0,0,0,0,0,0,0,0,0
"98","DDTL",810,759,672,784,861,887,820,733,870,1060
"99","TLX1NB",2,1,1,5,8,5,5,2,1,9
"100","NAALADL1",5,3,7,6,1,3,8,3,8,7
"101","CDKN2B-AS1",0,2,2,7,8,5,4,4,0,4
