"","SYMBOL","GSM2298375","GSM2298377","GSM2298378","GSM2298379","GSM2298380","GSM2298381","GSM2298382"
"1","A1BG",2,0,414,339,785,400,112
"2","NAT2",0,4,0,0,1,0,0
"3","ADA",731,1186,1714,1513,4109,2661,842
"4","CDH2",0,1,3,1,9,3,2525
"5","AKT3",113,120,9,22,33,21,1266
"6","GAGE12F",0,0,0,0,0,0,0
"7","RNA5-8SN5",10,12,9,30,41,42,10
"8","RNA18SN5",4799,5411,3883,13077,9453,21616,5981
"9","RNA28SN5",3387,3494,6514,20160,23150,38758,2706
"10","TRY-GTA7-1",0,0,0,0,0,0,0
"11","TRY-GTA5-4",0,0,0,0,0,0,0
"12","TRF-GAA2-1",0,0,0,0,0,0,0
"13","TRF-GAA1-4",0,0,0,0,0,0,0
"14","TRH-GTG1-6",0,0,6,0,0,1,0
"15","LINC02584",1,0,0,0,0,0,11
"16","POU5F1P5",0,0,0,0,0,0,0
"17","ZBTB11-AS1",291,498,173,259,356,463,210
"18","MED6",2495,2638,1650,1816,2091,2378,2206
"19","NR2E3",1,1,7,17,29,17,2
"20","NAALAD2",53,31,12,6,7,1,35
"21","DUXB",0,0,0,0,0,0,0
"22","SNORD116-1",0,0,0,0,0,0,0
"23","SNORD116-2",0,0,0,0,0,0,0
"24","SNORD116-3",0,0,0,0,0,0,0
"25","SNORD116-4",0,0,0,0,0,0,0
"26","SNORD116-5",0,0,0,0,0,0,0
"27","SNORD116-6",0,0,0,0,0,0,0
"28","SNORD116-7",0,0,0,0,0,0,0
"29","SNORD116-8",0,0,0,0,0,0,0
"30","SNORD116-9",0,0,0,0,0,0,0
"31","SNORD116-10",0,0,0,0,0,0,0
"32","SNORD116-11",0,0,0,0,0,0,0
"33","SNORD116-12",0,0,0,0,0,0,0
"34","SNORD116-13",0,0,0,0,0,0,0
"35","SNORD116-14",0,0,0,0,0,0,0
"36","SNORD116-15",0,0,0,0,0,0,0
"37","SNORD116-16",0,0,0,0,0,0,0
"38","SNORD116-17",0,0,0,0,0,0,0
"39","SNORD116-18",0,0,0,0,0,0,0
"40","SNORD116-20",0,0,0,0,0,0,0
"41","SNORD116-21",0,0,0,0,0,0,0
"42","SNORD116-22",0,0,0,0,0,0,0
"43","SNORD116-23",0,0,0,0,0,0,0
"44","SNORD116-24",0,0,0,0,0,0,0
"45","SNORD116-25",0,0,0,0,0,0,0
"46","SNORD115-2",0,0,0,0,0,0,0
"47","SNORD116-26",0,0,0,0,0,0,0
"48","SNORD116-27",0,0,0,0,0,0,0
"49","SNORD115-3",0,0,0,0,0,0,0
"50","SNORD115-4",0,0,0,0,0,0,0
"51","SNORD115-5",0,0,0,0,0,0,0
"52","SNORD115-6",0,0,0,0,0,0,0
"53","SNORD115-7",0,0,0,0,0,0,0
"54","SNORD115-8",0,0,0,0,0,0,0
"55","SNORD115-9",0,0,0,0,0,0,0
"56","SNORD115-10",0,0,0,0,0,0,0
"57","SNORD115-11",0,0,0,0,0,0,0
"58","SNORD115-12",0,0,0,0,0,0,0
