"","genename","ensembleID","entrezgene_id"
"TSPAN6","TSPAN6","ENSG00000000003",7105
"TNMD","TNMD","ENSG00000000005",64102
"DPM1","DPM1","ENSG00000000419",8813
"SCYL3","SCYL3","ENSG00000000457",57147
"C1orf112","C1orf112","ENSG00000000460",55732
"FGR","FGR","ENSG00000000938",2268
"CFH","CFH","ENSG00000000971",3075
"FUCA2","FUCA2","ENSG00000001036",2519
"GCLC","GCLC","ENSG00000001084",2729
"NFYA","NFYA","ENSG00000001167",4800
"STPG1","STPG1","ENSG00000001460",90529
"NIPAL3","NIPAL3","ENSG00000001461",57185
"LAS1L","LAS1L","ENSG00000001497",81887
"ENPP4","ENPP4","ENSG00000001561",22875
"SEMA3F","SEMA3F","ENSG00000001617",6405
"CFTR","CFTR","ENSG00000001626",1080
"ANKIB1","ANKIB1","ENSG00000001629",54467
"CYP51A1","CYP51A1","ENSG00000001630",1595
"KRIT1","KRIT1","ENSG00000001631",889
"RAD52","RAD52","ENSG00000002016",5893
"MYH16","MYH16","ENSG00000002079",NA
"BAD","BAD","ENSG00000002330",572
"LAP3","LAP3","ENSG00000002549",51056
"CD99","CD99","ENSG00000002586",4267
"HS3ST1","HS3ST1","ENSG00000002587",9957
"AOC1","AOC1","ENSG00000002726",26
"WNT16","WNT16","ENSG00000002745",51384
"HECW1","HECW1","ENSG00000002746",23072
"MAD1L1","MAD1L1","ENSG00000002822",8379
"LASP1","LASP1","ENSG00000002834",3927
"SNX11","SNX11","ENSG00000002919",29916
"TMEM176A","TMEM176A","ENSG00000002933",55365
"M6PR","M6PR","ENSG00000003056",4074
"KLHL13","KLHL13","ENSG00000003096",90293
"CYP26B1","CYP26B1","ENSG00000003137",56603
"ICA1","ICA1","ENSG00000003147",3382
"DBNDD1","DBNDD1","ENSG00000003249",79007
"ALS2","ALS2","ENSG00000003393",57679
"CASP10","CASP10","ENSG00000003400",843
"CFLAR","CFLAR","ENSG00000003402",8837
"TFPI","TFPI","ENSG00000003436",7035
"NDUFAF7","NDUFAF7","ENSG00000003509",55471
"RBM5","RBM5","ENSG00000003756",10181
"MTMR7","MTMR7","ENSG00000003987",9108
"SLC7A2","SLC7A2","ENSG00000003989",6542
"ARF5","ARF5","ENSG00000004059",381
"SARM1","SARM1","ENSG00000004139",23098
"POLDIP2","POLDIP2","ENSG00000004142",26073
"PLXND1","PLXND1","ENSG00000004399",23129
"AK2","AK2","ENSG00000004455",204
"CD38","CD38","ENSG00000004468",952
"FKBP4","FKBP4","ENSG00000004478",2288
"KDM1A","KDM1A","ENSG00000004487",23028
"RBM6","RBM6","ENSG00000004534",10180
"CAMKK1","CAMKK1","ENSG00000004660",84254
"RECQL","RECQL","ENSG00000004700",5965
"VPS50","VPS50","ENSG00000004766",55610
"HSPB6","HSPB6","ENSG00000004776",126393
"ARHGAP33","ARHGAP33","ENSG00000004777",115703
"NDUFAB1","NDUFAB1","ENSG00000004779",4706
"PDK4","PDK4","ENSG00000004799",5166
"SLC22A16","SLC22A16","ENSG00000004809",85413
"ZMYND10","ZMYND10","ENSG00000004838",51364
"ABCB5","ABCB5","ENSG00000004846",340273
"ARX","ARX","ENSG00000004848",170302
"SLC25A13","SLC25A13","ENSG00000004864",10165
"ST7","ST7","ENSG00000004866",7982
"CDC27","CDC27","ENSG00000004897",996
"SLC4A1","SLC4A1","ENSG00000004939",6521
"CALCR","CALCR","ENSG00000004948",799
"HCCS","HCCS","ENSG00000004961",3052
"DVL2","DVL2","ENSG00000004975",1856
"PRSS22","PRSS22","ENSG00000005001",64063
"UPF1","UPF1","ENSG00000005007",5976
"SKAP2","SKAP2","ENSG00000005020",8935
"SLC25A5","SLC25A5","ENSG00000005022",292
"MCUB","MCUB","ENSG00000005059",55013
"HOXA11","HOXA11","ENSG00000005073",3207
"POLR2J","POLR2J","ENSG00000005075",5439
"DHX33","DHX33","ENSG00000005100",56919
"MEOX1","MEOX1","ENSG00000005102",4222
"THSD7A","THSD7A","ENSG00000005108",221981
"LIG3","LIG3","ENSG00000005156",3980
"RPAP3","RPAP3","ENSG00000005175",79657
"ACSM3","ACSM3","ENSG00000005187",6296
"AC004381.6","AC004381.6","ENSG00000005189",81691
"CIAPIN1","CIAPIN1","ENSG00000005194",57019
"SPPL2B","SPPL2B","ENSG00000005206",56928
"FAM214B","FAM214B","ENSG00000005238",80256
"COPZ2","COPZ2","ENSG00000005243",51226
"PRKAR2B","PRKAR2B","ENSG00000005249",5577
"MSL3","MSL3","ENSG00000005302",10943
"CREBBP","CREBBP","ENSG00000005339",1387
"TSPOAP1","TSPOAP1","ENSG00000005379",9256
"MPO","MPO","ENSG00000005381",4353
"PON1","PON1","ENSG00000005421",5444
"GCFC2","GCFC2","ENSG00000005436",6936
"WDR54","WDR54","ENSG00000005448",84058
"CROT","CROT","ENSG00000005469",54677
"ABCB4","ABCB4","ENSG00000005471",5244
"KMT2E","KMT2E","ENSG00000005483",55904
"RHBDD2","RHBDD2","ENSG00000005486",57414
"SOX8","SOX8","ENSG00000005513",30812
"IBTK","IBTK","ENSG00000005700",25998
"ZNF195","ZNF195","ENSG00000005801",7748
"MYCBP2","MYCBP2","ENSG00000005810",23077
"FBXL3","FBXL3","ENSG00000005812",26224
"ITGAL","ITGAL","ENSG00000005844",3683
"PDK2","PDK2","ENSG00000005882",5164
"ITGA3","ITGA3","ENSG00000005884",3675
"ZFX","ZFX","ENSG00000005889",7543
"LAMP2","LAMP2","ENSG00000005893",3920
"ENSG00000005955","ENSG00000005955","ENSG00000005955",NA
"ITGA2B","ITGA2B","ENSG00000005961",3674
"ASB4","ASB4","ENSG00000005981",51666
"GDE1","GDE1","ENSG00000006007",51573
"C19orf60","C19orf60","ENSG00000006015",55049
"CRLF1","CRLF1","ENSG00000006016",9244
"OSBPL7","OSBPL7","ENSG00000006025",114881
