Genes,EV,WT_1,WT_2,R175_1,R175_2,R273_1,R273_2,second.WT,second.EV,second.X248W1,second.X248W2
A1BG,184,182,197,191,185,172,199,177,242,120,151
A1BG-AS1,76,63,53,71,63,62,66,49,110,51,59
A1CF,0,0,11,6,8,0,0,1,0,0,8
A2M,0,3,3,0,3,3,0,0,6,2,2
A2M-AS1,40,19,24,13,26,13,30,30,34,14,21
A2ML1,3,0,1,6,4,12,4,3,2,0,4
A4GALT,1001,1393,1703,1181,1903,1390,1822,1409,1362,905,1164
AAAS,2155,1862,2054,2033,2436,2221,2217,1880,2738,1568,2017
AACS,2191,2753,2291,2272,2069,2247,2077,2491,2667,1738,2058
AACSP1,11,12,4,10,3,11,13,10,10,0,13
AADAT,605,463,378,671,461,580,511,397,782,547,616
AAGAB,2336,2586,2451,2291,2204,2509,2223,2081,3537,2235,2574
AAK1,406,802,575,530,320,510,421,556,628,302,403
AAMDC,194,215,169,267,256,217,213,184,246,170,196
AAMP,4233,4761,4537,4302,4413,4235,4584,3705,6660,3867,4682
AANAT,17,15,20,20,7,29,11,17,21,4,7
AAR2,1454,1405,1227,1460,1435,1301,1488,1070,2235,1475,1769
AARD,66,51,37,55,39,42,65,46,77,43,41
AARS1,17123,20061,18389,18459,16435,18891,18880,23251,15328,11210,12151
AARS2,1143,1354,1231,1233,1174,1124,1191,1075,1716,951,1177
AARSD1,6,3,1,3,2,2,3,4,1,4,1
AASDH,538,447,524,564,524,503,528,464,690,363,482
AASDHPPT,1302,1263,1219,1368,1042,1196,1245,1060,1901,1402,1510
AASS,70,71,103,101,95,64,108,90,79,41,58
AATBC,29,30,38,37,16,29,37,15,68,20,24
AATK,174,95,114,150,119,143,139,89,252,85,141
ABAT,4507,5507,4667,4639,4578,4393,4955,4524,6259,4175,4986
ABCA1,2,0,0,4,0,0,0,0,3,0,1
ABCA10,1,0,3,0,5,5,0,0,5,0,0
ABCA11P,163,220,114,167,161,122,202,192,156,79,113
ABCA12,1337,1760,1337,1969,1621,1746,2137,1912,1143,873,1054
ABCA17P,68,138,101,151,181,150,113,67,150,57,63
ABCA2,6178,5811,4931,6739,6412,6703,6795,5210,7704,4355,5730
ABCA3,5446,6731,6377,5813,7157,6270,6822,5393,8278,4567,6011
ABCA4,32,84,59,74,27,46,65,45,68,18,13
ABCA5,1388,1235,991,1428,1554,1373,1394,1424,1117,764,792
ABCA7,312,312,237,237,291,276,313,252,416,202,280
ABCA9-AS1,0,5,0,0,0,3,0,1,3,1,0
ABCB10,635,398,535,498,514,563,525,382,971,733,850
ABCB4,140,78,79,109,115,72,131,113,96,73,81
ABCB6,1844,2437,2278,2015,1767,1751,2124,2116,2540,1235,1414
ABCB7,578,520,557,669,654,547,718,488,791,510,607
ABCB8,775,881,693,783,867,759,846,713,1051,593,697
ABCB9,587,535,452,537,459,557,599,437,821,420,568
ABCC1,255,270,235,182,213,151,176,277,268,372,239
ABCC10,769,1044,1031,689,1004,969,965,993,981,577,644
ABCC11,300,289,235,251,351,249,331,354,218,129,138
ABCC12,12,14,6,7,12,9,6,18,3,0,7
ABCC2,24,60,33,59,53,52,43,29,51,14,28
ABCC3,553,1317,1410,622,960,546,938,1236,754,249,367
ABCC4,310,298,299,265,205,289,294,268,427,262,287
ABCC5,5259,3991,3247,5368,4407,4880,5308,3214,7309,4249,4967
ABCC5-AS1,0,5,0,10,0,0,0,1,0,0,10
ABCC6,0,1,0,8,5,0,2,0,0,0,1
ABCC6P1,3,15,5,3,7,9,5,5,11,2,6
ABCC8,80,49,62,51,76,59,67,82,51,36,46
ABCC9,0,0,1,9,0,0,0,0,2,1,3
ABCD1,2544,2754,2489,2008,2300,1910,2451,1967,4249,2002,2512
ABCD3,872,993,845,691,696,656,757,688,1460,755,959
ABCD4,840,742,772,830,1009,914,891,768,993,631,676
ABCE1,5493,5856,4878,5073,4979,5056,4871,4485,8188,4989,5743
ABCF1,8,5,16,11,16,9,16,8,14,8,16
ABCF2,2507,2849,2961,2769,2866,2583,2574,2165,4225,2580,3104
ABCF3,2200,2350,2064,2085,2065,2125,2314,1964,3057,1666,2104
ABCG1,3456,2990,2938,4269,3878,3703,4357,2908,4262,3345,3611
ABCG2,63,111,133,117,89,100,133,71,139,36,55
ABCG4,0,0,3,0,4,2,3,0,3,5,0
ABCG5,11,8,0,4,16,10,9,9,5,1,3
ABCG8,0,0,0,35,0,111,114,0,1,0,0
ABHD1,29,27,27,33,31,41,26,25,39,23,20
ABHD10,965,921,805,844,1007,944,972,756,1366,798,870
ABHD11,3202,3535,3154,2965,2926,2988,3225,3153,4148,2022,2282
ABHD12,2082,2035,1969,2005,2208,2124,2249,1887,2704,1461,1683
ABHD13,394,477,349,435,376,375,442,310,656,324,426
ABHD14A,88,32,41,34,89,72,77,64,46,31,39
ABHD14B,1312,1431,1252,1269,1408,1273,1422,1458,1397,725,848
ABHD15,318,340,296,220,313,320,353,260,487,316,370
ABHD16A,1,0,0,4,0,4,4,2,0,26,0
ABHD16B,295,306,325,279,268,291,398,294,390,214,293
ABHD17A,1484,1545,1456,1374,1696,1659,1476,1277,2173,1274,1452
ABHD17B,592,539,424,568,497,626,455,422,837,621,694
ABHD17C,2208,1755,1848,1923,2051,2011,2242,1694,2879,1891,2300
ABHD18,556,431,523,533,403,472,669,474,677,361,414
ABHD2,1622,2542,1813,1719,1523,1715,1849,1881,2318,1315,1532
ABHD3,281,235,144,229,244,184,225,172,378,229,237
ABHD4,297,339,401,300,276,273,346,309,447,165,222
ABHD5,778,789,930,748,719,840,765,672,1251,902,957
ABHD6,67,48,74,73,76,52,100,42,120,40,31
ABHD8,139,137,134,122,196,134,198,136,166,97,96
ABI1,1476,1652,1352,1647,1322,1548,1500,1278,2157,1216,1497
ABI2,3599,2974,2543,3576,2937,3419,3334,2835,4153,2561,3077
ABI3,4,0,3,4,0,0,2,4,0,3,3
ABI3BP,2,6,4,1,0,0,0,0,9,9,6
ABITRAM,1326,1245,1151,1093,1114,1082,1232,1145,1691,974,1230
ABL1,2943,2978,2751,2837,3067,3017,3275,2443,4299,2847,3226
ABL2,1342,1483,1116,1423,1434,1463,1616,1236,1711,1129,1357
ABLIM1,3743,4027,3721,4372,3456,3975,4100,3696,4780,3255,3499
ABLIM2,88,105,52,77,58,63,50,69,124,81,114
ABLIM3,296,287,286,459,292,322,339,251,421,297,383
ABR,80,17,10,36,12,18,28,15,96,12,1
ABRACL,887,875,1007,862,767,847,754,791,1322,792,859
ABRAXAS1,570,542,493,594,579,554,606,579,582,432,625
ABRAXAS2,862,742,769,852,810,970,722,653,1243,738,879
ABT1,1120,1171,1351,1199,1364,1356,1425,1044,1697,1083,1287
ABTB1,314,146,202,235,262,219,235,207,300,128,155
ABTB2,693,987,834,925,738,802,773,700,1130,687,837
ABTB3,87,64,36,153,57,118,67,53,99,39,50
ACAA1,1694,1779,1711,1770,1834,1875,1782,1504,2448,1364,1616
ACAA2,3151,2599,2379,3234,2601,2843,2863,2476,3811,2831,3133
ACACA,107,119,196,108,227,148,134,102,208,307,219
ACACB,1192,785,655,1126,1254,1127,1201,636,1669,690,943
ACAD10,969,748,710,919,1036,937,1003,862,908,542,717
ACAD11,18,25,19,13,33,25,24,19,26,9,3
ACAD8,676,624,625,640,625,600,672,546,963,566,645
ACAD9,1995,1815,1547,1704,1699,1739,1721,1521,2714,1565,1975
ACADL,10,8,9,8,1,17,4,4,18,10,15
ACADM,1026,933,894,831,991,905,909,857,1341,832,1036
ACADS,139,79,67,84,120,104,83,77,160,79,88
ACADSB,1216,1126,906,1274,1207,1331,1295,907,1679,1034,1277
ACADVL,2828,3638,3178,2630,3030,2693,2930,3317,3515,1671,2028
ACAP1,61,80,52,55,71,75,88,66,73,29,31
ACAP2,3419,3285,2443,3149,2298,2831,2583,2568,4684,2867,3456
ACAP3,1753,1560,1559,1640,1790,1686,1903,1337,2549,1405,1638
ACAT1,1320,1167,1087,1285,1283,1290,1420,1029,1781,1211,1436
ACAT2,1254,998,965,1216,822,1172,928,717,2149,1320,1519
ACBD3,1410,1661,1215,1470,1281,1427,1261,1291,1930,1179,1405
ACBD4,303,365,332,308,312,393,399,385,315,112,148
ACBD5,1651,1653,1541,1719,1473,1459,1733,1301,2536,1606,1656
ACBD6,2754,2839,2389,2762,3003,2944,2688,2583,3352,1949,2421
ACBD7,1360,1037,1024,1639,1134,1361,1344,1084,1526,1104,1349
ACCS,342,269,272,317,340,373,276,354,269,137,173
ACCSL,0,0,4,4,1,4,0,2,3,1,0
ACD,801,622,682,575,697,716,757,645,980,608,792
ACE,27,50,42,38,13,28,23,43,34,42,54
ACE2,4,0,3,0,0,2,0,5,0,0,0
ACER1,3,4,0,3,0,0,0,2,4,0,2
ACER2,80,82,81,94,57,98,114,59,139,69,99
ACER3,576,655,478,763,664,540,798,414,982,496,590
ACHE,90,91,133,105,125,141,149,77,164,88,130
ACIN1,8390,7668,7259,8245,8745,8819,9103,6620,11720,7388,9207
ACKR2,5,5,7,0,3,3,6,5,8,1,5
ACKR3,1010,1048,1035,792,658,758,921,1209,973,583,770
ACKR4,6,5,7,26,5,4,8,9,3,8,6
ACLY,13833,12246,11544,12653,12499,12509,14401,8761,23538,14252,16258
ACMSD,0,0,7,7,9,3,1,2,4,4,0
ACO1,272,258,234,238,208,331,204,204,409,195,244
ACO2,2001,2076,1879,1894,1994,2145,1952,1674,2945,1640,2041
ACOT1,44,61,53,77,37,45,54,30,97,59,45
ACOT11,7,15,7,1,16,3,0,6,16,4,10
ACOT13,900,1126,919,947,937,990,991,852,1347,807,959
ACOT2,362,319,293,339,463,352,333,265,521,238,254
ACOT4,393,419,376,387,368,341,357,334,583,281,366
ACOT6,21,42,23,35,36,18,27,22,39,14,21
ACOT7,1482,1226,1195,1115,1150,1012,1135,985,2282,1311,1593
ACOT8,235,260,241,174,312,281,238,242,297,186,210
ACOT9,827,738,824,801,645,686,842,823,927,443,552
ACOX1,1376,1575,1546,1340,1547,1485,1459,1264,2129,1246,1519
ACOX2,46,114,111,37,49,56,50,82,83,38,59
ACOX3,247,176,269,212,209,249,221,198,344,166,252
ACOXL,33,37,51,50,43,63,37,30,61,14,41
ACOXL-AS1,0,1,0,75,0,0,0,6,0,0,0
ACP1,2165,2102,2305,2356,2298,2261,2186,2077,2817,1880,2148
ACP2,980,1199,1200,1020,1148,988,1140,1058,1380,787,937
ACP3,100,67,38,110,58,86,53,67,87,59,80
ACP4,3,6,14,12,9,3,6,4,12,5,15
ACP5,29,42,56,57,18,29,36,52,31,12,21
ACP6,596,745,726,570,865,712,829,915,507,275,341
ACP7,29,26,26,27,12,24,25,15,58,16,33
ACR,6,0,1,2,1,0,0,0,9,1,0
ACRBP,12,7,14,14,13,19,11,10,15,10,12
ACRV1,20,4,24,16,16,17,11,21,14,11,6
ACSBG1,12,8,5,0,10,0,10,7,14,6,6
ACSBG2,25,11,16,31,32,32,19,20,19,7,5
ACSF2,950,712,600,929,1117,964,999,667,1115,611,823
ACSF3,1552,1327,1414,1342,1438,1431,1550,1287,2028,1202,1414
ACSL1,550,797,704,638,641,602,660,614,842,572,767
ACSL3,3078,2385,2257,3008,2335,2981,2620,1925,4638,2485,3151
ACSL4,83,98,98,129,132,117,114,57,175,140,163
ACSL5,2,0,0,5,0,3,2,0,1,1,11
ACSL6,4,1,5,1,7,39,52,5,4,0,7
ACSM1,2,3,5,4,2,0,2,0,4,4,0
ACSM3,39,42,49,45,40,67,54,52,38,25,13
ACSM4,1,1,1,0,1,1,0,0,0,1204,1378
ACSM5,1,0,0,0,0,3,0,0,2,0,2
ACSS1,895,736,609,1113,1336,962,1213,775,871,637,695
ACSS2,770,557,547,772,928,641,951,496,1061,656,658
ACSS3,1765,1522,1250,1657,1555,1740,1627,1484,1920,1381,1571
ACTA1,0,0,8,1,4,1,0,3,4,3,2
ACTA2,21,30,60,16,33,21,28,30,42,8,23
ACTB,98645,104030,101909,85365,83238,88559,91457,74975,169831,96846,116042
ACTG1,66355,93195,92283,62755,68294,67321,81246,83598,91004,45496,52598
ACTG1P17,17,12,18,26,15,6,15,20,13,11,11
ACTG1P25,70,31,36,41,41,47,41,27,105,49,37
ACTG2,14,74,46,14,22,21,31,15,81,21,19
ACTL10,130,209,281,210,175,217,177,170,239,101,100
ACTL6A,3272,2959,2852,3435,2490,3004,2913,2610,4506,2508,3000
ACTL6B,6,3,3,2,6,3,4,7,0,3,0
ACTL7B,0,2,0,4,0,0,0,0,1,0,0
ACTL8,42,64,20,50,44,45,31,37,57,32,23
ACTN1,4065,4501,4029,3892,3508,3955,3756,3361,6463,3600,4293
ACTN1-DT,2,0,2,0,0,0,2,0,1,0,0
ACTN2,6,0,0,3,0,0,6,2,5,0,2
ACTN3,0,8,0,3,0,0,3,2,5,0,0
ACTN4,11148,11128,10274,10069,9614,9852,10582,8528,17524,9982,12700
ACTR10,1040,1101,937,911,936,911,1084,978,1315,835,849
ACTR1A,1348,1599,1498,1441,1459,1564,1524,1203,2178,1236,1431
ACTR1B,2024,2023,2069,2145,2076,2052,2267,2156,2264,1651,1853
ACTR2,7869,7262,6245,7783,5737,7248,6695,5243,12691,7492,8803
ACTR3,3735,3860,3485,3755,2771,3385,3407,2933,5857,3587,4023
ACTR3B,494,489,397,438,484,490,486,404,665,468,606
ACTR3C,174,152,93,179,130,114,218,124,206,143,145
ACTR5,480,614,570,459,776,430,733,509,697,370,463
ACTR6,1502,1382,1302,1378,1199,1267,1223,1198,2083,1199,1296
ACTR8,817,887,675,815,624,807,693,701,1120,607,749
ACTRT3,47,81,90,51,97,60,66,54,97,61,59
ACVR1,464,528,473,450,510,442,488,507,548,403,506
ACVR1B,1172,1349,1080,1599,1308,1385,1433,1103,1586,1003,1215
ACVR1C,6,7,5,3,3,5,11,2,14,5,10
ACVR2A,310,193,178,365,238,288,266,191,361,265,300
ACVR2B,975,900,779,1066,826,801,1100,918,1030,590,758
ACVR2B-AS1,60,9,45,59,57,54,56,47,31,19,28
ACVRL1,18,5,3,14,0,3,4,10,11,7,8
ACY1,65,74,54,40,42,42,66,69,71,22,51
ACYP1,252,172,172,192,222,189,210,190,268,148,151
ACYP2,84,42,67,76,77,47,87,61,90,53,89
ADA,122,104,122,87,100,160,127,118,140,43,80
ADA2,12,24,18,13,31,21,52,20,15,16,12
ADAD2,7,25,10,14,17,6,11,16,9,9,0
ADAL,659,561,630,679,690,678,699,547,884,521,584
ADAM10,2142,2202,2116,2473,2039,2350,2086,1996,2848,1913,2249
ADAM11,408,380,316,370,432,417,403,301,585,309,419
ADAM12,9,28,10,11,16,11,10,12,19,7,10
ADAM15,4494,4673,4554,4033,4367,4211,4645,4220,6055,3402,4107
ADAM17,940,822,933,1025,681,887,914,937,1034,635,735
ADAM19,12,3,1,5,9,18,7,4,12,12,3
ADAM20,3,10,11,7,5,7,6,6,9,5,5
ADAM20P1,19,12,6,20,33,9,40,13,18,10,3
ADAM21,11,14,7,4,2,2,14,19,0,0,0
ADAM22,1239,1015,868,1483,989,1232,1279,963,1440,1075,1360
ADAM23,24,12,19,26,10,20,35,11,39,19,36
ADAM32,9,21,3,23,8,7,11,13,10,20,17
ADAM8,338,230,240,367,372,335,325,240,397,195,244
ADAM9,1262,1802,1671,1747,1398,1589,1876,1588,1701,1152,1364
ADAMTS10,2,0,2,2,6,1,4,1,3,5,0
ADAMTS12,3,3,3,3,11,4,0,2,4,7,1
ADAMTS13,585,489,519,634,648,589,637,622,509,254,326
ADAMTS14,8,4,3,4,3,0,1,6,1,5,6
ADAMTS15,69,48,25,35,35,41,13,44,67,22,27
ADAMTS17,109,160,119,123,128,209,106,159,107,77,118
ADAMTS19,1704,1041,891,1410,999,1348,1173,851,2396,1564,1820
ADAMTS19-AS1,171,63,81,136,126,103,115,75,199,64,117
ADAMTS20,33,64,57,37,37,58,21,70,30,44,18
ADAMTS3,13,6,4,2,4,21,3,6,15,10,0
ADAMTS4,0,0,3,15,1,1,3,0,3,3,2
ADAMTS6,14,19,12,21,48,16,12,13,21,17,21
ADAMTS7,5,13,9,22,23,18,10,5,13,10,9
ADAMTS8,4,4,2,0,0,2,4,3,4,0,3
ADAMTS9,33,23,24,63,42,42,42,22,44,32,93
ADAMTSL1,7,9,5,7,9,4,11,5,12,3,6
ADAMTSL2,0,0,4,8,11,4,4,2,1,0,0
ADAMTSL3,74,39,44,78,52,85,26,48,77,76,77
ADAMTSL4,68,78,59,62,104,88,89,67,85,27,52
ADAMTSL5,333,288,310,244,225,204,245,262,472,198,279
ADAP1,547,414,530,426,569,475,382,453,699,294,433
ADAP2,18,32,24,18,27,15,22,14,42,51,36
ADAR,13759,15349,13053,15596,13796,14555,15079,12156,19973,12159,15119
ADARB1,1098,1295,957,1219,1399,1457,1287,1060,1418,1048,1253
ADARB2,0,3,0,9,11,15,9,0,4,0,5
ADAT1,1904,2271,1849,2123,1589,2080,1849,1636,2997,1883,2146
ADAT2,549,719,458,640,660,640,618,654,557,304,401
ADAT3,149,163,120,198,192,126,188,118,221,125,173
ADCK1,303,335,310,307,245,288,425,272,449,295,322
ADCK2,930,1001,749,868,810,900,860,703,1442,807,967
ADCK5,397,326,283,232,449,328,289,318,450,254,293
ADCY1,836,762,636,625,523,648,704,533,1372,874,971
ADCY10,9,0,0,12,7,37,7,7,2,0,0
ADCY10P1,25,50,65,63,92,61,79,51,35,15,8
ADCY3,1053,891,1047,1032,958,967,1051,760,1689,933,1317
ADCY4,13,11,5,12,3,9,19,15,5,0,3
ADCY5,10,15,18,12,11,5,11,14,15,3,9
ADCY6,4281,3593,3081,4424,4895,4564,4961,3437,4925,3065,3600
ADCY6-DT,4,13,16,13,18,8,17,6,16,7,5
ADCY7,198,137,143,161,222,224,162,127,271,154,178
ADCY9,1872,2829,2301,2044,2572,1985,2677,1906,3151,2010,2310
ADD1,3006,2626,2318,2765,2529,2626,2945,2125,4346,2618,3100
ADD3,982,982,652,1012,643,917,787,618,1613,1095,1365
ADGRA1,10,0,10,9,9,6,6,3,15,3,8
ADGRA2,47,102,64,62,51,43,76,83,55,36,39
ADGRA3,1154,1181,1013,1247,1293,1323,1334,958,1639,1099,1324
ADGRB1,840,595,735,919,916,926,930,683,979,557,677
ADGRB2,167,124,142,199,124,144,145,121,229,153,168
ADGRB3,0,0,0,0,0,26627,21605,1,0,0,0
ADGRD1,15,7,1,0,9,9,4,12,5,2,2
ADGRD2,21,27,43,40,43,23,32,28,35,3,22
ADGRE2,25,29,40,29,37,10,45,30,36,21,20
ADGRE5,623,507,480,504,628,510,634,550,642,320,426
ADGRF3,4,23,13,5,9,11,15,9,13,12,21
