Genes,EV,WT_1,WT_2,R175_1,R175_2,R273_1,R273_2
A1BG,217,220,228,225,220,206,232
A1BG-AS1,80,65,56,74,67,65,69
A1CF,0,0,6,3,4,0,0
A2M,0,2,2,0,2,2,0
A2M-AS1,39,20,24,13,25,14,29
A2ML1,2,0,1,4,2,8,2
A4GALT,1030,1499,1680,1322,1829,1481,1812
AAAS,2195,1971,2058,2149,2429,2258,2294
AACS,2310,2902,2501,2388,2239,2347,2263
AACSP1,12,13,4,10,3,12,14
AADAT,586,443,376,620,477,550,512
AAGAB,2264,2463,2319,2177,2119,2335,2187
AAK1,402,747,580,483,339,480,427
AAMDC,182,199,164,251,243,203,203
AAMP,4268,4688,4431,4276,4347,4208,4517
AANAT,17,16,20,20,8,29,12
AAR2,1525,1426,1270,1504,1485,1361,1517
AARD,61,47,36,50,38,41,59
AARS1,18433,22929,21108,20317,18765,20985,21341
AARS2,1169,1355,1240,1237,1195,1136,1202
AARSD1,8,4,1,4,2,3,4
AASDH,549,477,521,572,543,515,542
AASDHPPT,1233,1187,1132,1234,1023,1120,1171
AASS,73,81,105,107,102,73,109
AATBC,32,32,38,37,18,31,39
AATK,207,115,129,171,145,166,165
ABAT,4563,5467,4771,4672,4627,4481,4947
ABCA1,2,0,0,4,0,0,0
ABCA10,1,0,2,0,4,4,0
ABCA11P,156,206,126,164,160,129,189
ABCA12,1467,2003,1624,2191,1918,2050,2393
ABCA17P,65,120,93,142,162,132,108
ABCA2,6701,6295,5499,7317,7069,7287,7482
ABCA3,5649,6856,6454,6159,7087,6443,6941
ABCA4,27,67,50,58,25,39,53
ABCA5,1472,1380,1161,1612,1706,1519,1561
ABCA7,346,337,271,271,313,310,344
ABCA9-AS1,0,4,0,0,0,2,0
ABCB10,625,407,490,486,496,536,519
ABCB4,152,93,92,126,131,90,141
ABCB6,1856,2446,2282,1983,1812,1799,2087
ABCB7,597,548,562,687,676,584,717
ABCB8,815,903,748,837,897,805,882
ABCB9,616,550,478,548,491,584,624
ABCC1,289,315,279,217,242,178,202
ABCC10,790,1093,1059,760,983,992,1006
ABCC11,323,332,281,301,381,293,364
ABCC12,11,14,6,7,12,9,6
ABCC2,20,47,28,48,44,42,36
ABCC3,569,1385,1418,690,929,611,902
ABCC4,321,311,305,264,220,297,305
ABCC5,5209,3852,3269,5142,4494,4840,5213
ABCC5-AS1,0,2,0,4,0,0,0
ABCC6,0,1,0,8,5,0,2
ABCC6P1,2,13,4,2,6,8,4
ABCC8,91,64,74,65,88,72,80
ABCC9,0,0,1,6,0,0,0
