Genes,WT,EV,R248W_1,R248W_2
A1BG,132,180,89,113
A1BG-AS1,44,101,46,53
A1CF,1,0,0,2
A2M,0,8,2,2
A2M-AS1,30,32,13,21
A2ML1,4,4,0,7
A4GALT,1346,1305,859,1122
AAAS,1822,2606,1494,1953
AACS,2269,2355,1563,1844
AACSP1,8,7,0,11
AADAT,420,818,580,643
AAGAB,2217,3912,2441,2783
AAK1,570,672,313,427
AAMDC,205,269,188,216
AAMP,3688,6971,3952,4793
AANAT,15,18,3,6
AAR2,993,2163,1400,1678
AARD,51,84,48,44
AARS1,20104,11732,9338,9871
AARS2,1041,1719,934,1164
AARSD1,2,1,2,1
AASDH,448,657,344,467
AASDHPPT,1173,2158,1592,1671
AASS,82,69,36,52
AATBC,12,63,17,21
AATK,66,191,61,109
ABAT,4451,6218,4131,4925
ABCA1,0,2,0,1
ABCA10,0,6,0,0
ABCA11P,203,151,79,117
ABCA12,1595,834,690,834
ABCA17P,72,184,66,73
ABCA2,4522,6530,3695,4969
ABCA3,5103,8143,4361,5868
ABCA4,59,95,24,17
ABCA5,1256,847,646,647
ABCA7,211,347,166,237
ABCA9-AS1,1,3,1,0
ABCB10,395,1046,778,895
ABCB4,94,67,57,63
ABCB6,2102,2541,1238,1401
ABCB7,463,754,486,577
ABCB8,655,967,546,639
ABCB9,403,767,384,534
ABCC1,220,198,303,167
ABCC10,948,921,551,604
ABCC11,302,156,104,109
ABCC12,17,2,0,6
ABCC2,39,72,18,39
ABCC3,1178,722,231,358
ABCC4,253,406,250,269
ABCC5,3286,7548,4381,5087
ABCC5-AS1,1,0,0,4
ABCC6,0,0,0,1
ABCC6P1,5,12,2,7
ABCC8,63,32,25,33
ABCC9,0,4,1,4
ABCD1,1922,4455,2024,2565
ABCD3,807,1836,915,1176
ABCD4,718,893,587,612
ABCE1,4903,9246,5577,6352
ABCF1,14,26,14,28
ABCF2,2503,5258,3108,3739
ABCF3,2068,3251,1753,2239
ABCG1,2722,3883,3129,3291
ABCG2,89,197,47,75
ABCG4,0,2,4,0
ABCG5,8,4,1,2
ABCG8,0,4,0,0
ABHD1,16,25,15,12
ABHD10,880,1615,946,1008
ABHD11,2813,3657,1807,2008
ABHD12,1860,2636,1439,1641
ABHD13,351,794,376,505
ABHD14A,60,34,27,34
ABHD14B,1406,1256,679,790
ABHD15,271,528,337,392
ABHD16A,3,0,66,0
ABHD16B,244,322,174,246
ABHD17A,1144,2000,1165,1311
ABHD17B,403,812,603,663
ABHD17C,1637,2754,1815,2214
ABHD18,491,681,370,420
ABHD2,1953,2452,1383,1600
ABHD3,207,454,279,280
ABHD4,356,531,190,263
ABHD5,771,1518,1081,1115
ABHD6,50,151,50,37
ABHD8,90,106,64,61
ABI1,1379,2388,1326,1642
ABI2,2790,3899,2466,2963
ABI3,3,0,2,2
ABI3BP,0,7,7,4
ABITRAM,1202,1746,1008,1288
ABL1,2393,4321,2846,3180
ABL2,1206,1641,1092,1313
ABLIM1,3482,4430,3081,3224
ABLIM2,83,151,97,141
ABLIM3,265,451,313,411
ABR,23,149,17,2
ABRACL,875,1510,901,954
ABRAXAS1,495,459,348,526
ABRAXAS2,709,1379,811,964
ABT1,1126,1899,1193,1414
ABTB1,175,230,104,126
ABTB2,700,1200,709,866
ABTB3,54,98,39,50
ACAA1,1484,2470,1364,1610
ACAA2,2416,3599,2747,2980
ACACA,104,236,350,222
ACACB,575,1528,618,871
ACAD10,757,717,450,609
ACAD11,19,27,9,3
ACAD8,512,919,539,607
ACAD9,1495,2676,1531,1955
ACADL,2,12,6,10
ACADM,935,1451,900,1131
ACADS,66,133,67,74
ACADSB,929,1734,1060,1318
ACADVL,3310,3422,1646,2002
ACAP1,66,71,28,30
ACAP2,2598,4764,2907,3507
ACAP3,1143,2233,1221,1413
ACAT1,1047,1813,1234,1459
ACAT2,833,2702,1611,1835
ACBD3,1373,2062,1258,1496
ACBD4,325,247,90,122
ACBD5,1429,2906,1836,1824
ACBD6,2535,3189,1877,2350
ACBD7,1146,1529,1137,1395
ACCS,293,191,106,136
ACCSL,4,8,1,0
ACD,632,934,582,773
ACE,25,19,24,31
ACE2,4,0,0,0
ACER1,2,3,0,2
ACER2,68,173,81,121
ACER3,487,1244,608,722
ACHE,69,160,81,124
ACIN1,6729,12052,7521,9454
ACKR2,6,10,1,5
ACKR3,962,701,440,594
ACKR4,7,2,6,4
ACLY,9353,27155,15992,18012
ACMSD,2,5,4,0
ACO1,222,459,215,271
ACO2,1626,2941,1609,2020
ACOT1,21,80,48,33
ACOT11,6,17,4,11
ACOT13,953,1556,919,1089
ACOT2,273,549,251,261
ACOT4,292,525,247,328
ACOT6,16,31,10,16
ACOT7,1030,2490,1401,1706
ACOT8,215,259,165,184
ACOT9,800,853,418,525
ACOX1,1300,2288,1310,1602
ACOX2,72,78,34,55
ACOX3,182,320,149,238
ACOXL,27,60,12,41
ACOXL-AS1,4,0,0,0
ACP1,2168,2909,1964,2217
ACP2,1020,1348,764,908
ACP3,50,57,41,57
ACP4,3,12,4,15
ACP5,47,27,10,19
ACP6,752,364,213,267
ACP7,11,48,12,27
ACR,0,4,1,0
ACRBP,8,12,8,9
ACRV1,23,14,12,6
ACSBG1,5,10,4,4
ACSBG2,15,13,5,3
ACSF2,628,1007,556,770
ACSF3,1150,1795,1072,1254
