Genes,sc20_a,sc20_b,siA5_a,siA5_b,siP53_a,siP53_b,siA5_siP53_a,siA5_siP53_b
A1BG,7,4,3,6,3,0,0,1
A1BG-AS1,104,109,104,83,48,69,66,40
A2M,1,0,14,0,1,5,1,4
A2M-AS1,16,16,13,41,23,10,11,28
A2ML1,4,4,5,8,6,6,1,1
A2MP1,13,4,36,5,0,0,0,0
A4GALT,2401,2270,2729,1599,1091,875,775,802
AAAS,3795,3115,1946,2110,3720,3275,2143,2199
AACS,3378,2918,2616,2576,1369,1401,997,1083
AADAT,331,274,202,332,504,484,405,446
AAGAB,2800,2605,2367,2962,995,801,746,807
AAK1,153,189,317,212,91,213,160,162
AAMDC,230,198,135,166,141,104,66,77
AAMP,10534,8674,8137,7671,10366,9187,8347,8897
AANAT,7,7,3,5,14,5,11,6
AAR2,2744,2222,2358,2108,2053,2063,1907,1959
AARD,19,13,4,8,7,13,8,8
AARS1,17037,14444,12347,10099,10686,11182,9975,10824
AARS2,1411,1522,1046,954,1375,1497,1247,1326
AARSD1,31,37,15,24,17,23,10,14
AASDH,705,645,361,534,373,296,189,221
AASDHPPT,950,892,746,1054,1028,929,916,1062
AASS,10,9,1,6,1,2,5,1
AATBC,35,56,62,13,33,24,59,97
AATK,585,551,270,605,323,380,221,336
ABAT,3089,2979,7415,8600,5682,6867,7962,7407
ABCA11P,12,25,4,9,10,27,17,15
ABCA12,795,1079,496,1293,144,235,143,151
ABCA17P,170,211,126,191,50,120,91,126
ABCA2,8419,8635,8349,5839,5224,6229,5109,5891
ABCA3,11368,10917,7670,5592,4325,5025,3448,3837
ABCA4,351,337,61,12,93,52,42,20
ABCA5,234,305,246,233,238,174,169,168
ABCA7,620,610,640,531,208,250,273,274
ABCB10,1090,1168,645,667,734,704,578,692
ABCB4,110,55,4,65,102,101,56,63
ABCB6,136,136,321,81,66,91,101,126
ABCB7,722,733,770,823,860,796,690,777
ABCB8,2083,2323,1474,1915,1624,1518,1274,1253
ABCB9,1476,1248,909,834,822,783,609,667
ABCC1,3442,3582,6579,2892,1195,1353,1395,1605
ABCC10,1534,1469,2366,1972,950,1101,1096,1143
ABCC11,221,204,17,37,118,189,38,82
ABCC12,10,2,0,8,6,6,0,0
ABCC2,37,36,273,44,40,66,64,45
ABCC3,2456,2609,3057,1061,2044,2107,2728,2594
ABCC4,141,181,369,343,223,203,409,435
ABCC5,11556,9839,24282,12726,6462,7111,8748,9611
ABCC6,20,19,13,10,21,38,9,26
ABCC6P1,5,2,0,5,15,7,8,7
ABCC6P2,10,5,0,0,24,20,6,0
ABCC8,22,30,0,19,4,0,7,4
ABCD1,8928,7339,9374,7141,7732,7874,9565,9600
ABCD3,3308,3526,3647,3597,3002,2151,2223,2730
ABCD4,1751,1603,1442,1699,1114,977,777,977
ABCE1,4118,4165,2977,4016,4134,4206,3990,4603
ABCF1,6076,5367,6081,4732,6106,6226,6189,6718
ABCF2,5056,4480,4375,3929,4520,4524,4450,4851
ABCF3,5350,4436,4762,4550,3839,3717,3584,3942
ABCG1,9028,8007,10410,4260,2508,2097,3024,2799
ABCG2,487,471,777,455,134,187,148,165
ABHD1,66,62,29,11,13,10,15,27
ABHD10,1633,1605,879,1694,2152,1711,1777,1852
ABHD11,6286,5452,4634,5136,7524,7277,6338,6988
ABHD12,4411,3680,4032,3211,3086,2809,2211,2619
ABHD13,687,521,886,831,700,664,912,1019
ABHD14A,73,64,80,81,96,80,76,83
ABHD14A-ACY1,7,3,2,6,1,1,0,2
ABHD14B,1860,1654,1021,1307,1279,887,721,850
ABHD15,506,481,480,612,432,318,373,482
ABHD16A,51,51,54,44,35,27,30,23
ABHD16B,455,509,419,394,303,242,244,335
ABHD17A,5281,3970,4957,4187,3469,3506,3325,3574
ABHD17B,736,688,879,912,646,553,588,617
ABHD17C,3823,4015,3485,3419,3667,2959,2960,3311
ABHD18,721,626,492,453,714,639,552,499
ABHD2,1509,1489,1045,1503,1407,1734,1896,2039
ABHD3,615,546,512,611,650,485,609,605
ABHD4,1336,1074,2596,889,1159,1092,1176,1062
ABHD5,725,573,662,521,316,329,324,315
ABHD6,228,186,176,178,173,139,93,58
ABHD8,89,36,112,60,42,47,65,34
ABI1,3069,3047,3229,3797,3149,3086,2870,3237
ABI2,2500,2468,2462,3527,2535,2471,2529,2766
ABITRAM,919,932,895,1533,1262,1027,1279,1332
ABL1,4746,4938,4511,4955,2932,3440,3105,3773
ABL2,2354,2890,2886,2183,1250,1387,1215,1524
ABLIM1,1529,1691,914,2124,2339,2774,3199,3186
ABLIM2,163,134,165,144,119,121,99,104
ABLIM3,207,170,67,110,137,169,112,111
ABR,3631,3262,2296,2308,2775,3180,2232,2525
ABRACL,1877,1693,1920,1955,2272,1589,1777,1772
ABRAXAS1,326,355,386,455,266,222,274,321
ABRAXAS2,1142,1218,1122,787,1225,1163,1208,1286
ABT1,3180,2733,2716,2395,2983,2451,2292,2723
ABTB1,528,456,244,311,174,222,122,156
ABTB2,2777,2624,2279,2229,1607,1777,1553,1711
ACAA1,3570,3090,2843,3445,2604,2385,1915,2217
ACAA2,3190,2438,3071,2438,3756,3042,3113,3285
ACAA2P1,2,3,1,5,1,1,10,6
ACACB,2199,2586,194,495,208,375,147,176
ACAD10,1239,1283,893,1299,902,947,771,784
ACAD8,1724,1507,1409,1709,1129,1091,760,899
ACAD9,3800,3671,2337,2768,2456,2128,1912,2123
ACADL,13,6,4,47,13,23,34,25
ACADM,1615,1522,1401,1728,1733,1337,1112,1328
ACADS,338,310,154,371,227,130,97,117
ACADSB,1752,1738,854,2411,866,787,742,776
ACADVL,10422,9552,11537,8753,3818,3609,2921,3331
ACAP1,146,157,229,141,79,88,79,128
ACAP2,4006,4515,4208,4966,3219,3545,3343,3692
ACAP3,3421,3020,4432,2352,1608,1771,1542,1692
ACAT1,2226,2043,1370,2189,2413,2022,1706,1959
ACAT2,1522,1490,1620,1610,1656,1565,1442,1581
ACBD3,1297,1195,1582,1868,1520,1532,2030,2344
ACBD4,618,516,376,380,282,211,107,139
ACBD5,3879,3663,2042,1809,4256,4159,3022,3414
ACBD6,230,218,156,186,105,155,79,125
ACBD7,377,364,96,115,215,187,66,90
ACCS,194,157,117,353,207,150,130,154
ACD,1287,922,908,720,816,843,696,711
ACE,22,19,6,4,0,0,0,5
ACER2,183,184,344,327,55,94,98,140
ACER3,769,598,915,1096,688,709,767,768
ACHE,128,96,747,438,102,100,238,225
ACIN1,10863,10210,9436,8129,8227,8683,8553,9791
ACKR2,6,1,10,6,3,10,4,0
ACKR3,1504,1499,1032,795,1178,1157,745,870
ACLY,25801,23457,25427,18332,17975,19759,17788,20024
ACO1,431,380,394,480,348,272,276,326
ACO2,4838,4534,3807,4705,3360,3618,3367,3818
ACOT1,58,67,108,171,89,82,72,127
ACOT13,928,978,883,1074,1074,855,838,976
ACOT2,785,637,696,1295,1079,941,858,894
ACOT4,751,657,328,715,1534,1323,981,1026
ACOT6,1,4,2,0,7,4,2,4
ACOT7,2090,2024,1180,2192,2477,2255,2038,2242
ACOT8,1022,737,704,796,605,546,463,517
ACOT9,1010,903,1278,1202,1323,1179,1324,1315
ACOX1,2349,2373,2345,2650,2279,2178,1984,2085
ACOX2,140,137,44,206,735,491,408,484
ACOX3,578,484,435,441,493,501,382,362
ACOXL,26,5,5,10,2,0,12,12
ACP1,4721,4292,3731,3996,5491,4338,4524,4626
ACP2,2473,2028,1321,1482,1785,1443,929,1135
ACP3,39,23,24,22,97,104,108,61
ACP4,9,7,16,7,4,13,17,14
ACP5,3,15,14,2,16,0,4,1
ACP6,1326,1024,1033,730,765,616,366,422
ACP7,0,1,0,4,5,9,6,1
ACR,5,8,0,5,2,0,0,1
ACRBP,4,9,4,4,0,2,0,0
ACRV1,2,20,1,11,7,4,7,7
ACSBG1,0,10,1,1,4,2,5,1
ACSBG2,2,7,6,2,1,1,5,6
ACSF2,2356,1812,1491,1487,880,779,507,554
ACSF3,2995,2449,2156,2066,2003,2003,1742,1923
ACSL1,430,461,697,658,530,525,980,893
ACSL3,10415,9757,12640,10214,7662,6264,9446,9214
ACSL4,147,176,251,150,73,64,71,56
ACSM1,0,0,0,1,4,14,1,1
ACSM3,17,11,3,1,12,6,2,18
ACSS1,2777,2374,2853,1897,1352,1019,888,1080
ACSS2,1669,1480,2226,988,612,512,455,510
ACSS3,1419,1365,685,1530,1371,1058,921,1037
ACTA2,51,45,531,453,9,1,6,9
ACTB,166835,135677,169975,158670,284634,261255,278174,303504
ACTG1,112692,99251,163983,121754,172611,145258,173416,181247
ACTG1P17,15,2,0,3,17,8,0,4
ACTG1P25,51,29,2,17,21,14,9,2
ACTG2,14,11,36,39,116,113,122,164
ACTL6A,4667,4017,3137,4292,4524,4062,4197,4810
ACTL8,25,27,0,6,76,98,30,57
ACTN1,8400,7557,8396,6651,6527,7336,7862,8242
ACTN4,23633,19762,24264,16653,17320,20160,20019,20829
ACTR10,2298,2121,1594,2106,1946,1507,1214,1421
