"from","to","width","color","title"
"ACADVL","WT vs EV F ",0.365,"red","</b> <br>LogFC: <b>0.365</b><br>Treatment: WT vs EV F "
"ACHE","siA5 vs sc20  ",2.502,"red","</b> <br>LogFC: <b>2.502</b><br>Treatment: siA5 vs sc20  "
"ACHE","EV Doxo sc vs EV Doxo A5  ",2.271,"green","</b> <br>LogFC: <b>-2.271</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"ACOT1","siA5 vs sc20  ",1.27,"red","</b> <br>LogFC: <b>1.27</b><br>Treatment: siA5 vs sc20  "
"ADRM1","WT vs EV F ",0.223,"red","</b> <br>LogFC: <b>0.223</b><br>Treatment: WT vs EV F "
"ADRM1","siA5 vs sc20  ",0.366,"red","</b> <br>LogFC: <b>0.366</b><br>Treatment: siA5 vs sc20  "
"AGR2","WT vs EV F ",1.32,"red","</b> <br>LogFC: <b>1.32</b><br>Treatment: WT vs EV F "
"AGR2","R175 serum A5 vs WT Serum Sc  ",3.463,"red","</b> <br>LogFC: <b>3.463</b><br>Treatment: R175 serum A5 vs WT Serum Sc  "
"AGRN","siA5 vs sc20  ",0.642,"red","</b> <br>LogFC: <b>0.642</b><br>Treatment: siA5 vs sc20  "
"AKAP8L","siA5 vs sc20  ",0.544,"red","</b> <br>LogFC: <b>0.544</b><br>Treatment: siA5 vs sc20  "
"AKAP8L","EV Doxo sc vs EV Doxo A5  ",0.537,"green","</b> <br>LogFC: <b>-0.537</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"AKT1","WT vs EV F ",0.311,"green","</b> <br>LogFC: <b>-0.311</b><br>Treatment: WT vs EV F "
"ALKBH7","EV Doxo sc vs EV Doxo A5  ",3.366,"green","</b> <br>LogFC: <b>-3.366</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"ANK1","siA5 vs sc20  ",1.991,"red","</b> <br>LogFC: <b>1.991</b><br>Treatment: siA5 vs sc20  "
"ANKDD1A","EV Doxo sc vs EV Doxo A5  ",1.498,"green","</b> <br>LogFC: <b>-1.498</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"ANKRD11","WT vs EV F ",0.22,"red","</b> <br>LogFC: <b>0.22</b><br>Treatment: WT vs EV F "
"ANKRD11","EV Doxo sc vs EV Doxo A5  ",0.653,"green","</b> <br>LogFC: <b>-0.653</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"ANKRD29","siA5 vs sc20  ",3.164,"red","</b> <br>LogFC: <b>3.164</b><br>Treatment: siA5 vs sc20  "
"ANKRD31","R175 serum A5 vs WT Serum Sc  ",1.188,"red","</b> <br>LogFC: <b>1.188</b><br>Treatment: R175 serum A5 vs WT Serum Sc  "
"ANKRD54","siA5 vs sc20  ",0.313,"red","</b> <br>LogFC: <b>0.313</b><br>Treatment: siA5 vs sc20  "
"ANKS1B","WT vs EV F ",1.075,"green","</b> <br>LogFC: <b>-1.075</b><br>Treatment: WT vs EV F "
"ANO6","siA5 vs sc20  ",0.77,"red","</b> <br>LogFC: <b>0.77</b><br>Treatment: siA5 vs sc20  "
"ANO6","EV Doxo sc vs EV Doxo A5  ",0.606,"green","</b> <br>LogFC: <b>-0.606</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"ANXA1","siA5 vs sc20  ",3.717,"red","</b> <br>LogFC: <b>3.717</b><br>Treatment: siA5 vs sc20  "
"ANXA2","WT vs EV F ",0.424,"red","</b> <br>LogFC: <b>0.424</b><br>Treatment: WT vs EV F "
"ANXA2","siA5 vs sc20  ",0.8,"red","</b> <br>LogFC: <b>0.8</b><br>Treatment: siA5 vs sc20  "
"ANXA2","EV Doxo sc vs EV Doxo A5  ",0.5,"green","</b> <br>LogFC: <b>-0.5</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"AP1S1","siA5 vs sc20  ",0.426,"red","</b> <br>LogFC: <b>0.426</b><br>Treatment: siA5 vs sc20  "
"AP1S1","EV Doxo sc vs EV Doxo A5  ",0.526,"green","</b> <br>LogFC: <b>-0.526</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"APBB2","EV Doxo sc vs EV Doxo A5  ",0.596,"green","</b> <br>LogFC: <b>-0.596</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"ARAP1","siA5 vs sc20  ",0.384,"red","</b> <br>LogFC: <b>0.384</b><br>Treatment: siA5 vs sc20  "
"ARAP2","EV Doxo sc vs EV Doxo A5  ",0.691,"green","</b> <br>LogFC: <b>-0.691</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"ARAP2","R175 serum A5 vs WT Serum Sc  ",0.497,"red","</b> <br>LogFC: <b>0.497</b><br>Treatment: R175 serum A5 vs WT Serum Sc  "
"ARC","EV Doxo sc vs EV Doxo A5  ",2.532,"green","</b> <br>LogFC: <b>-2.532</b><br>Treatment: EV Doxo sc vs EV Doxo A5  "
"ARFGAP1","WT vs EV F ",0.239,"red","</b> <br>LogFC: <b>0.239</b><br>Treatment: WT vs EV F "
"ARID3A","siA5 vs sc20  ",0.389,"red","</b> <br>LogFC: <b>0.389</b><br>Treatment: siA5 vs sc20  "
"ARID3B","siA5 vs sc20  ",1.82,"red","</b> <br>LogFC: <b>1.82</b><br>Treatment: siA5 vs sc20  "
"ARRDC1","siA5 vs sc20  ",0.39,"red","</b> <br>LogFC: <b>0.39</b><br>Treatment: siA5 vs sc20  "
"ARSA","siA5 vs sc20  ",0.435,"red","</b> <br>LogFC: <b>0.435</b><br>Treatment: siA5 vs sc20  "
"ARTN","WT vs EV F ",0.604,"red","</b> <br>LogFC: <b>0.604</b><br>Treatment: WT vs EV F "
"ARVCF","WT vs EV F ",0.245,"green","</b> <br>LogFC: <b>-0.245</b><br>Treatment: WT vs EV F "
