"Gene","C_1","C_2","C_3","TrkB.FL_1","TrkB.FL_2","TrkB.FL_3","TrkB.T1_1","TrkB.T1_2","TrkB.T1_3"
"AAED1",105,104,95,147,119,158,95,91,122
"AAGAB",2299,2402,2205,2712,2416,2706,2445,2436,2616
"AARS",6493,6779,6539,7393,6619,7787,6807,6535,6955
"AARS2",1210,1228,1139,1482,1276,1509,1285,1222,1294
"ABCA1",894,1028,1119,944,800,856,813,925,785
"ABCA2",3029,3151,3103,3502,3339,3482,3041,3131,3106
"ABCA7",350,273,284,343,310,323,279,243,239
"ABCB10",731,764,780,850,725,817,925,866,917
"ABCB4",327,321,350,527,399,460,480,413,494
"ABCB6",1382,1279,1353,1310,1314,1343,1189,1183,1262
