"id","label","shape","color","title"
"ABCD1","ABCD1","dot","#FFFFFF","</b><br>Significant in: 0"
"ABHD4","ABHD4","dot","#FFFFFF","</b><br>Significant in: 0"
"ACADVL","ACADVL","dot","#D2D2D2","</b><br>Significant in: 1"
"ACAP3","ACAP3","dot","#FFFFFF","</b><br>Significant in: 0"
"ACHE","ACHE","dot","#A6A6A6","</b><br>Significant in: 2"
"ACOT1","ACOT1","dot","#D2D2D2","</b><br>Significant in: 1"
"ACYP2","ACYP2","dot","#FFFFFF","</b><br>Significant in: 0"
"ADAMTS13","ADAMTS13","dot","#FFFFFF","</b><br>Significant in: 0"
"ADRB1","ADRB1","dot","#FFFFFF","</b><br>Significant in: 0"
"ADRM1","ADRM1","dot","#A6A6A6","</b><br>Significant in: 2"
"AFTPH-DT","AFTPH-DT","dot","#FFFFFF","</b><br>Significant in: 0"
"AGAP6","AGAP6","dot","#FFFFFF","</b><br>Significant in: 0"
"AGR2","AGR2","dot","#A6A6A6","</b><br>Significant in: 2"
"AGRN","AGRN","dot","#D2D2D2","</b><br>Significant in: 1"
"AKAP8L","AKAP8L","dot","#A6A6A6","</b><br>Significant in: 2"
"AKT1","AKT1","dot","#D2D2D2","</b><br>Significant in: 1"
"ALKBH7","ALKBH7","dot","#D2D2D2","</b><br>Significant in: 1"
"ALOX15","ALOX15","dot","#FFFFFF","</b><br>Significant in: 0"
"ANK1","ANK1","dot","#D2D2D2","</b><br>Significant in: 1"
"ANKDD1A","ANKDD1A","dot","#D2D2D2","</b><br>Significant in: 1"
"ANKHD1","ANKHD1","dot","#FFFFFF","</b><br>Significant in: 0"
"ANKRD11","ANKRD11","dot","#A6A6A6","</b><br>Significant in: 2"
"ANKRD13B","ANKRD13B","dot","#FFFFFF","</b><br>Significant in: 0"
"ANKRD13D","ANKRD13D","dot","#FFFFFF","</b><br>Significant in: 0"
"ANKRD29","ANKRD29","dot","#D2D2D2","</b><br>Significant in: 1"
"ANKRD31","ANKRD31","dot","#D2D2D2","</b><br>Significant in: 1"
"ANKRD53","ANKRD53","dot","#FFFFFF","</b><br>Significant in: 0"
"ANKRD54","ANKRD54","dot","#D2D2D2","</b><br>Significant in: 1"
"ANKRD61","ANKRD61","dot","#FFFFFF","</b><br>Significant in: 0"
"ANKS1B","ANKS1B","dot","#D2D2D2","</b><br>Significant in: 1"
"ANO6","ANO6","dot","#A6A6A6","</b><br>Significant in: 2"
"ANXA1","ANXA1","dot","#D2D2D2","</b><br>Significant in: 1"
"ANXA2","ANXA2","dot","#797979","</b><br>Significant in: 3"
"AP1S1","AP1S1","dot","#A6A6A6","</b><br>Significant in: 2"
"APBB2","APBB2","dot","#D2D2D2","</b><br>Significant in: 1"
"APRG1","APRG1","dot","#FFFFFF","</b><br>Significant in: 0"
"ARAP1","ARAP1","dot","#D2D2D2","</b><br>Significant in: 1"
"ARAP2","ARAP2","dot","#A6A6A6","</b><br>Significant in: 2"
"ARC","ARC","dot","#D2D2D2","</b><br>Significant in: 1"
"ARFGAP1","ARFGAP1","dot","#D2D2D2","</b><br>Significant in: 1"
"ARHGAP31","ARHGAP31","dot","#FFFFFF","</b><br>Significant in: 0"
"ARID3A","ARID3A","dot","#D2D2D2","</b><br>Significant in: 1"
"ARID3B","ARID3B","dot","#D2D2D2","</b><br>Significant in: 1"
"ARNT2","ARNT2","dot","#FFFFFF","</b><br>Significant in: 0"
"ARRDC1","ARRDC1","dot","#D2D2D2","</b><br>Significant in: 1"
"ARSA","ARSA","dot","#D2D2D2","</b><br>Significant in: 1"
"ARTN","ARTN","dot","#D2D2D2","</b><br>Significant in: 1"
"ARVCF","ARVCF","dot","#A6A6A6","</b><br>Significant in: 2"
"ASPG","ASPG","dot","#FFFFFF","</b><br>Significant in: 0"
"ASPHD2","ASPHD2","dot","#A6A6A6","</b><br>Significant in: 2"
"ATG101","ATG101","dot","#D2D2D2","</b><br>Significant in: 1"
"ATG2A","ATG2A","dot","#FFFFFF","</b><br>Significant in: 0"
"ATG4D","ATG4D","dot","#D2D2D2","</b><br>Significant in: 1"
"ATP13A1","ATP13A1","dot","#FFFFFF","</b><br>Significant in: 0"
"ATP1A1-AS1","ATP1A1-AS1","dot","#FFFFFF","</b><br>Significant in: 0"
"ATP5MF","ATP5MF","dot","#D2D2D2","</b><br>Significant in: 1"
"ATP5PF","ATP5PF","dot","#FFFFFF","</b><br>Significant in: 0"
"ATP6V0A1","ATP6V0A1","dot","#A6A6A6","</b><br>Significant in: 2"
"ATP6V0C","ATP6V0C","dot","#D2D2D2","</b><br>Significant in: 1"
"ATP6V0D1","ATP6V0D1","dot","#D2D2D2","</b><br>Significant in: 1"
"ATP7B","ATP7B","dot","#A6A6A6","</b><br>Significant in: 2"
"ATXN2L","ATXN2L","dot","#D2D2D2","</b><br>Significant in: 1"
"ATXN7L3","ATXN7L3","dot","#A6A6A6","</b><br>Significant in: 2"
"B3GNT9","B3GNT9","dot","#D2D2D2","</b><br>Significant in: 1"
"B4GALT7","B4GALT7","dot","#A6A6A6","</b><br>Significant in: 2"
"BAIAP2","BAIAP2","dot","#A6A6A6","</b><br>Significant in: 2"
"BAIAP2-DT","BAIAP2-DT","dot","#A6A6A6","</b><br>Significant in: 2"
"BAIAP2L1","BAIAP2L1","dot","#D2D2D2","</b><br>Significant in: 1"
"BANP","BANP","dot","#D2D2D2","</b><br>Significant in: 1"
"BAX","BAX","dot","#A6A6A6","</b><br>Significant in: 2"
"BBC3","BBC3","dot","#D2D2D2","</b><br>Significant in: 1"
"BCKDHA","BCKDHA","dot","#FFFFFF","</b><br>Significant in: 0"
"BCL2L15","BCL2L15","dot","#FFFFFF","</b><br>Significant in: 0"
"BCL6","BCL6","dot","#FFFFFF","</b><br>Significant in: 0"
"BCORL1","BCORL1","dot","#A6A6A6","</b><br>Significant in: 2"
"BCR","BCR","dot","#FFFFFF","</b><br>Significant in: 0"
"BET1L","BET1L","dot","#A6A6A6","</b><br>Significant in: 2"
"BHLHE41","BHLHE41","dot","#A6A6A6","</b><br>Significant in: 2"
"BICDL1","BICDL1","dot","#D2D2D2","</b><br>Significant in: 1"
"BICDL2","BICDL2","dot","#D2D2D2","</b><br>Significant in: 1"
"BICRA","BICRA","dot","#FFFFFF","</b><br>Significant in: 0"
"BID","BID","dot","#D2D2D2","</b><br>Significant in: 1"
"BLNK","BLNK","dot","#D2D2D2","</b><br>Significant in: 1"
"BMP7","BMP7","dot","#4D4D4D","</b><br>Significant in: 4"
"BMP8A","BMP8A","dot","#FFFFFF","</b><br>Significant in: 0"
"BNC1","BNC1","dot","#A6A6A6","</b><br>Significant in: 2"
"BNIPL","BNIPL","dot","#D2D2D2","</b><br>Significant in: 1"
"BRD3OS","BRD3OS","dot","#FFFFFF","</b><br>Significant in: 0"
"BRMS1","BRMS1","dot","#D2D2D2","</b><br>Significant in: 1"
"BRWD1-AS1","BRWD1-AS1","dot","#FFFFFF","</b><br>Significant in: 0"
"BRWD1-AS2","BRWD1-AS2","dot","#D2D2D2","</b><br>Significant in: 1"
"BSG","BSG","dot","#D2D2D2","</b><br>Significant in: 1"
"BTBD7","BTBD7","dot","#797979","</b><br>Significant in: 3"
"BTN2A1","BTN2A1","dot","#D2D2D2","</b><br>Significant in: 1"
"C11orf42","C11orf42","dot","#FFFFFF","</b><br>Significant in: 0"
"C15orf61","C15orf61","dot","#FFFFFF","</b><br>Significant in: 0"
"C19orf12","C19orf12","dot","#A6A6A6","</b><br>Significant in: 2"
"C19orf53","C19orf53","dot","#FFFFFF","</b><br>Significant in: 0"
"C1orf109","C1orf109","dot","#D2D2D2","</b><br>Significant in: 1"
"C1orf220","C1orf220","dot","#D2D2D2","</b><br>Significant in: 1"
"C1QL3","C1QL3","dot","#FFFFFF","</b><br>Significant in: 0"
"C2orf74-DT","C2orf74-DT","dot","#FFFFFF","</b><br>Significant in: 0"
"C3orf52","C3orf52","dot","#D2D2D2","</b><br>Significant in: 1"
"C4orf48","C4orf48","dot","#A6A6A6","</b><br>Significant in: 2"
"C6orf132","C6orf132","dot","#D2D2D2","</b><br>Significant in: 1"
"C8orf58","C8orf58","dot","#D2D2D2","</b><br>Significant in: 1"
"CA4","CA4","dot","#FFFFFF","</b><br>Significant in: 0"
"CACFD1","CACFD1","dot","#D2D2D2","</b><br>Significant in: 1"
"CACNA1H","CACNA1H","dot","#FFFFFF","</b><br>Significant in: 0"
"CACNA2D2","CACNA2D2","dot","#D2D2D2","</b><br>Significant in: 1"
"CACNG4","CACNG4","dot","#A6A6A6","</b><br>Significant in: 2"
"CACNG8","CACNG8","dot","#D2D2D2","</b><br>Significant in: 1"
"CADPS2","CADPS2","dot","#797979","</b><br>Significant in: 3"
"CALML4","CALML4","dot","#A6A6A6","</b><br>Significant in: 2"
